 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   1.24330     Clsurf  =  -0.25744
     CYsurf  =  -0.01680     Cmsurf  =  -0.65062
     CDsurf  =   0.04927     Cnsurf  =  -0.09711
     CDisurf =   0.04927     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   2.48946     CDsurf  =   0.09866

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.7017   0.0620   2.6048   2.6048   0.0750   0.0000  -0.0690  -0.6739    0.276
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.7016   0.0620   2.6045   2.6045   0.0751   0.0000  -0.0690  -0.6739    0.276
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.7015   0.0622   2.6040   2.6040   0.0752   0.0000  -0.0690  -0.6738    0.277
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.7013   0.0624   2.6032   2.6032   0.0754   0.0000  -0.0690  -0.6736    0.277
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.7011   0.0626   2.6021   2.6021   0.0757   0.0000  -0.0690  -0.6733    0.277
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.7007   0.0630   2.6007   2.6007   0.0761   0.0000  -0.0690  -0.6730    0.277
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.7003   0.0634   2.5990   2.5990   0.0765   0.0000  -0.0689  -0.6727    0.277
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.6999   0.0638   2.5970   2.5970   0.0770   0.0000  -0.0689  -0.6722    0.277
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.6993   0.0644   2.5947   2.5947   0.0776   0.0000  -0.0689  -0.6717    0.277
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.6987   0.0650   2.5921   2.5921   0.0783   0.0000  -0.0688  -0.6712    0.277
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.6980   0.0658   2.5891   2.5891   0.0791   0.0000  -0.0688  -0.6705    0.277
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.6972   0.0666   2.5857   2.5857   0.0800   0.0000  -0.0687  -0.6698    0.277
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.6963   0.0675   2.5819   2.5819   0.0810   0.0000  -0.0687  -0.6689    0.277
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.6953   0.0685   2.5777   2.5777   0.0821   0.0000  -0.0686  -0.6680    0.277
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.6942   0.0696   2.5730   2.5730   0.0833   0.0000  -0.0685  -0.6670    0.277
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.6930   0.0708   2.5678   2.5678   0.0846   0.0000  -0.0684  -0.6658    0.277
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.6916   0.0722   2.5620   2.5620   0.0860   0.0000  -0.0683  -0.6645    0.277
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.6901   0.0737   2.5556   2.5556   0.0876   0.0000  -0.0682  -0.6631    0.277
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.6884   0.0754   2.5485   2.5485   0.0894   0.0000  -0.0681  -0.6615    0.277
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.6865   0.0772   2.5406   2.5406   0.0913   0.0000  -0.0679  -0.6597    0.277
    21   0.0000   1.0365   0.0000   0.2900   0.0148   0.6844   0.0792   2.5319   2.5319   0.0933   0.0000  -0.0677  -0.6578    0.277
    22   0.0000   1.0870   0.0000   0.2900   0.0145   0.6821   0.0814   2.5222   2.5222   0.0956   0.0000  -0.0675  -0.6556    0.277
    23   0.0000   1.1375   0.0000   0.2900   0.0148   0.6795   0.0839   2.5115   2.5115   0.0981   0.0000  -0.0673  -0.6531    0.277
    24   0.0000   1.1880   0.0000   0.2900   0.0145   0.6767   0.0866   2.4996   2.4996   0.1009   0.0000  -0.0670  -0.6504    0.277
    25   0.0000   1.2258   0.0000   0.2900   0.0074   0.6742   0.0890   2.4893   2.4893   0.1032   0.0000  -0.0668  -0.6480    0.277
    26   0.0000   1.2512   0.0000   0.2900   0.0074   0.6720   0.0907   2.4803   2.4803   0.1050   0.0000  -0.0666  -0.6459    0.277
