 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   2.11055     Clsurf  =  -0.32148
     CYsurf  =  -0.05941     Cmsurf  =  -0.78501
     CDsurf  =   0.10888     Cnsurf  =  -0.33288
     CDisurf =   0.10888     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   4.22595     CDsurf  =   0.21802

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.8764   0.1098   4.4742   4.4742   0.1658   0.0000  -0.0336  -0.7891    0.257
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.8763   0.1099   4.4736   4.4736   0.1660   0.0000  -0.0335  -0.7890    0.257
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.8762   0.1101   4.4724   4.4724   0.1663   0.0000  -0.0335  -0.7889    0.257
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.8759   0.1105   4.4705   4.4705   0.1668   0.0000  -0.0335  -0.7886    0.257
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.8756   0.1110   4.4681   4.4681   0.1674   0.0000  -0.0335  -0.7883    0.257
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.8752   0.1116   4.4649   4.4649   0.1682   0.0000  -0.0335  -0.7880    0.257
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.8747   0.1123   4.4611   4.4611   0.1692   0.0000  -0.0334  -0.7875    0.257
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.8741   0.1131   4.4567   4.4567   0.1704   0.0000  -0.0334  -0.7870    0.257
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.8734   0.1141   4.4514   4.4514   0.1717   0.0000  -0.0334  -0.7863    0.257
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.8727   0.1152   4.4454   4.4454   0.1733   0.0000  -0.0333  -0.7856    0.257
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.8718   0.1165   4.4386   4.4386   0.1750   0.0000  -0.0333  -0.7848    0.257
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.8708   0.1179   4.4310   4.4310   0.1769   0.0000  -0.0332  -0.7838    0.257
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.8696   0.1195   4.4225   4.4225   0.1791   0.0000  -0.0331  -0.7828    0.257
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.8684   0.1213   4.4130   4.4130   0.1815   0.0000  -0.0330  -0.7816    0.257
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.8670   0.1233   4.4024   4.4024   0.1841   0.0000  -0.0329  -0.7803    0.257
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.8654   0.1255   4.3907   4.3907   0.1870   0.0000  -0.0328  -0.7789    0.257
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.8637   0.1279   4.3777   4.3777   0.1902   0.0000  -0.0327  -0.7772    0.257
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.8618   0.1305   4.3634   4.3634   0.1937   0.0000  -0.0325  -0.7754    0.257
