 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.81024     Clsurf  =  -0.17489
     CYsurf  =  -0.00708     Cmsurf  =  -0.44024
     CDsurf  =   0.02160     Cnsurf  =  -0.04077
     CDisurf =   0.02160     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   1.62235     CDsurf  =   0.04325

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.4767   0.0400   1.6929   1.6929   0.0329   0.0000  -0.0435  -0.4545    0.276
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.4767   0.0400   1.6928   1.6928   0.0329   0.0000  -0.0435  -0.4544    0.276
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.4766   0.0401   1.6925   1.6925   0.0330   0.0000  -0.0435  -0.4544    0.276
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.4765   0.0402   1.6920   1.6920   0.0331   0.0000  -0.0435  -0.4542    0.276
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.4763   0.0404   1.6913   1.6913   0.0332   0.0000  -0.0435  -0.4541    0.276
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.4761   0.0406   1.6905   1.6905   0.0333   0.0000  -0.0435  -0.4539    0.276
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.4758   0.0409   1.6895   1.6895   0.0335   0.0000  -0.0434  -0.4536    0.276
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.4755   0.0412   1.6883   1.6883   0.0338   0.0000  -0.0434  -0.4533    0.276
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.4751   0.0416   1.6869   1.6869   0.0340   0.0000  -0.0434  -0.4530    0.276
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.4747   0.0420   1.6853   1.6853   0.0343   0.0000  -0.0434  -0.4526    0.276
