 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.68083     Clsurf  =  -0.14837
     CYsurf  =  -0.00477     Cmsurf  =  -0.37754
     CDsurf  =   0.01536     Cnsurf  =  -0.02779
     CDisurf =   0.01536     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   1.36322     CDsurf  =   0.03076

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.4044   0.0335   1.4216   1.4216   0.0234   0.0000  -0.0447  -0.3933    0.281
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.4044   0.0336   1.4215   1.4215   0.0234   0.0000  -0.0447  -0.3933    0.281
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.4043   0.0336   1.4212   1.4212   0.0234   0.0000  -0.0447  -0.3932    0.281
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.4042   0.0337   1.4208   1.4208   0.0235   0.0000  -0.0447  -0.3931    0.281
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.4040   0.0339   1.4203   1.4203   0.0236   0.0000  -0.0446  -0.3930    0.281
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.4039   0.0341   1.4196   1.4196   0.0237   0.0000  -0.0446  -0.3928    0.281
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.4036   0.0343   1.4187   1.4187   0.0239   0.0000  -0.0446  -0.3926    0.281
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.4034   0.0345   1.4178   1.4178   0.0240   0.0000  -0.0446  -0.3923    0.281
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.4031   0.0348   1.4166   1.4166   0.0242   0.0000  -0.0446  -0.3920    0.281
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.4027   0.0352   1.4153   1.4153   0.0244   0.0000  -0.0446  -0.3917    0.281
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.4023   0.0356   1.4138   1.4138   0.0247   0.0000  -0.0445  -0.3913    0.281
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.4018   0.0360   1.4121   1.4121   0.0249   0.0000  -0.0445  -0.3909    0.282
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.4013   0.0365   1.4102   1.4102   0.0252   0.0000  -0.0445  -0.3904    0.282
