 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.631949     Ave. chord Cave =    0.255127

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.07202     Clsurf  =  -0.01573
     CYsurf  =   0.00009     Cmsurf  =  -0.07047
     CDsurf  =   0.00018     Cnsurf  =   0.00034
     CDisurf =   0.00018     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.14644     CDsurf  =   0.00036

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    37   0.0087   1.8120   0.0000   0.2563   0.0118   0.0362   0.0068   0.1412   0.1412   0.0005   0.0000  -0.0622  -0.0975    0.691
    38   0.0100   1.8580   0.0000   0.2510   0.0115   0.0352   0.0071   0.1404   0.1404   0.0005   0.0000  -0.0621  -0.0972    0.692
    39   0.0113   1.9040   0.0000   0.2457   0.0113   0.0342   0.0079   0.1393   0.1393   0.0005   0.0000  -0.0618  -0.0966    0.694
    40   0.0135   1.9545   0.0000   0.2371   0.0130   0.0329   0.0076   0.1386   0.1386   0.0005   0.0000  -0.0617  -0.0962    0.695
    41   0.0165   2.0095   0.0000   0.2253   0.0124   0.0311   0.0070   0.1382   0.1382   0.0005   0.0000  -0.0618  -0.0962    0.697
    42   0.0195   2.0645   0.0000   0.2135   0.0117   0.0293   0.0071   0.1373   0.1373   0.0005   0.0000  -0.0617  -0.0959    0.699
    43   0.0225   2.1195   0.0000   0.2017   0.0111   0.0273   0.0077   0.1356   0.1356   0.0005   0.0000  -0.0613  -0.0951    0.702
    44   0.0255   2.1745   0.0000   0.1899   0.0104   0.0251   0.0101   0.1325   0.1325   0.0005   0.0000  -0.0603  -0.0932    0.705
    45   0.0308   2.2249   0.0000   0.1687   0.0077   0.0219   0.0070   0.1297   0.1297   0.0005   0.0000  -0.0587  -0.0899    0.702
    46   0.0383   2.2708   0.0000   0.1380   0.0063   0.0182   0.0022   0.1318   0.1318   0.0004   0.0000  -0.0591  -0.0909    0.698
    47   0.0458   2.3166   0.0000   0.1073   0.0049   0.0145  -0.0010   0.1351   0.1351   0.0004   0.0000  -0.0593  -0.0919    0.689
    48   0.0532   2.3624   0.0000   0.0767   0.0035   0.0108  -0.0041   0.1404   0.1404   0.0003   0.0000  -0.0595  -0.0933    0.674
    49   0.0607   2.4082   0.0000   0.0460   0.0021   0.0069  -0.0081   0.1505   0.1505   0.0001   0.0000  -0.0596  -0.0960    0.646
    50   0.0682   2.4541   0.0000   0.0153   0.0007   0.0028  -0.0178   0.1844   0.1844  -0.0009   0.0000  -0.0599  -0.1046    0.575
 ---------------------------------------------------------------
