 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.19441     Clsurf  =  -0.04314
     CYsurf  =   0.00009     Cmsurf  =  -0.14632
     CDsurf  =   0.00127     Cnsurf  =  -0.00012
     CDisurf =   0.00127     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.38926     CDsurf  =   0.00255

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.1174   0.0094   0.4047   0.4047   0.0019   0.0000  -0.0831  -0.1842    0.455
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.1173   0.0095   0.4046   0.4046   0.0019   0.0000  -0.0831  -0.1842    0.455
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.1173   0.0095   0.4046   0.4046   0.0019   0.0000  -0.0831  -0.1842    0.455
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.1173   0.0095   0.4045   0.4045   0.0019   0.0000  -0.0831  -0.1842    0.455
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.1173   0.0095   0.4043   0.4043   0.0019   0.0000  -0.0831  -0.1841    0.455
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.1172   0.0096   0.4042   0.4042   0.0019   0.0000  -0.0831  -0.1841    0.455
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.1171   0.0097   0.4039   0.4039   0.0020   0.0000  -0.0830  -0.1840    0.456
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.1171   0.0097   0.4037   0.4037   0.0020   0.0000  -0.0830  -0.1840    0.456
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.1170   0.0098   0.4034   0.4034   0.0020   0.0000  -0.0830  -0.1839    0.456
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.1169   0.0099   0.4031   0.4031   0.0020   0.0000  -0.0830  -0.1838    0.456
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.1168   0.0100   0.4027   0.4027   0.0020   0.0000  -0.0830  -0.1837    0.456
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.1167   0.0101   0.4023   0.4023   0.0020   0.0000  -0.0830  -0.1836    0.456
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.1165   0.0103   0.4018   0.4018   0.0021   0.0000  -0.0830  -0.1834    0.457
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.1164   0.0104   0.4012   0.4012   0.0021   0.0000  -0.0830  -0.1833    0.457
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.1162   0.0106   0.4007   0.4007   0.0021   0.0000  -0.0830  -0.1831    0.457
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.1160   0.0108   0.4000   0.4000   0.0022   0.0000  -0.0830  -0.1830    0.457
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.1158   0.0110   0.3993   0.3993   0.0022   0.0000  -0.0829  -0.1828    0.458
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.1156   0.0112   0.3985   0.3985   0.0022   0.0000  -0.0829  -0.1825    0.458
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.1153   0.0115   0.3976   0.3976   0.0023   0.0000  -0.0829  -0.1823    0.459
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.1150   0.0118   0.3966   0.3966   0.0023   0.0000  -0.0829  -0.1820    0.459
    21   0.0000   1.0365   0.0000   0.2900   0.0148   0.1147   0.0121   0.3955   0.3955   0.0024   0.0000  -0.0828  -0.1817    0.459
    22   0.0000   1.0870   0.0000   0.2900   0.0145   0.1144   0.0124   0.3943   0.3943   0.0024   0.0000  -0.0828  -0.1814    0.460
    23   0.0000   1.1375   0.0000   0.2900   0.0148   0.1140   0.0129   0.3930   0.3930   0.0025   0.0000  -0.0828  -0.1810    0.461
    24   0.0000   1.1880   0.0000   0.2900   0.0145   0.1136   0.0133   0.3916   0.3916   0.0026   0.0000  -0.0827  -0.1806    0.461
    25   0.0000   1.2258   0.0000   0.2900   0.0074   0.1132   0.0137   0.3903   0.3903   0.0026   0.0000  -0.0826  -0.1802    0.462
    26   0.0000   1.2512   0.0000   0.2900   0.0074   0.1129   0.0140   0.3892   0.3892   0.0027   0.0000  -0.0826  -0.1799    0.462
    27   0.0000   1.2890   0.0000   0.2900   0.0145   0.1125   0.0146   0.3878   0.3878   0.0027   0.0000  -0.0825  -0.1794    0.463
    28   0.0000   1.3395   0.0000   0.2895   0.0148   0.1118   0.0150   0.3861   0.3861   0.0028   0.0000  -0.0824  -0.1790    0.464
    29   0.0005   1.3905   0.0000   0.2885   0.0147   0.1110   0.0157   0.3847   0.3846   0.0028   0.0000  -0.0823  -0.1784    0.464
    30   0.0010   1.4410   0.0000   0.2870   0.0144   0.1100   0.0162   0.3832   0.3832   0.0029   0.0000  -0.0821  -0.1779    0.464
    31   0.0015   1.4915   0.0000   0.2845   0.0145   0.1088   0.0162   0.3823   0.3823   0.0029   0.0000  -0.0822  -0.1777    0.465
    32   0.0020   1.5420   0.0000   0.2820   0.0141   0.1074   0.0166   0.3809   0.3808   0.0030   0.0000  -0.0821  -0.1774    0.466
    33   0.0025   1.5925   0.0000   0.2790   0.0142   0.1059   0.0168   0.3794   0.3794   0.0031   0.0000  -0.0821  -0.1769    0.466
    34   0.0035   1.6430   0.0000   0.2750   0.0137   0.1041   0.0168   0.3786   0.3786   0.0031   0.0000  -0.0821  -0.1767    0.467
    35   0.0045   1.6935   0.0000   0.2710   0.0138   0.1022   0.0173   0.3771   0.3771   0.0032   0.0000  -0.0820  -0.1762    0.467
    36   0.0060   1.7440   0.0000   0.2660   0.0133   0.1001   0.0176   0.3762   0.3762   0.0032   0.0000  -0.0818  -0.1757    0.467
    37   0.0075   1.7945   0.0000   0.2600   0.0133   0.0976   0.0174   0.3756   0.3756   0.0032   0.0000  -0.0819  -0.1757    0.468
    38   0.0090   1.8455   0.0000   0.2540   0.0130   0.0950   0.0178   0.3742   0.3741   0.0032   0.0000  -0.0817  -0.1751    0.468
    39   0.0110   1.8960   0.0000   0.2470   0.0124   0.0921   0.0180   0.3730   0.3730   0.0032   0.0000  -0.0815  -0.1746    0.469
    40   0.0130   1.9465   0.0000   0.2390   0.0122   0.0889   0.0179   0.3721   0.3721   0.0033   0.0000  -0.0815  -0.1743    0.469
    41   0.0150   1.9970   0.0000   0.2305   0.0115   0.0854   0.0180   0.3704   0.3704   0.0033   0.0000  -0.0813  -0.1738    0.470
    42   0.0175   2.0475   0.0000   0.2210   0.0113   0.0815   0.0184   0.3688   0.3688   0.0033   0.0000  -0.0810  -0.1729    0.470
    43   0.0200   2.0980   0.0000   0.2100   0.0105   0.0771   0.0178   0.3673   0.3671   0.0034   0.0000  -0.0809  -0.1725    0.470
    44   0.0230   2.1485   0.0000   0.1980   0.0101   0.0723   0.0182   0.3653   0.3652   0.0034   0.0000  -0.0807  -0.1714    0.471
    45   0.0265   2.1990   0.0000   0.1845   0.0092   0.0669   0.0181   0.3624   0.3623   0.0034   0.0000  -0.0800  -0.1703    0.471
    46   0.0300   2.2495   0.0000   0.1685   0.0086   0.0606   0.0173   0.3595   0.3595   0.0035   0.0000  -0.0798  -0.1691    0.472
