 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.26629     Clsurf  =  -0.05907
     CYsurf  =  -0.00010     Cmsurf  =  -0.18427
     CDsurf  =   0.00239     Cnsurf  =  -0.00151
     CDisurf =   0.00239     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.53319     CDsurf  =   0.00478

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.1608   0.0130   0.5547   0.5547   0.0036   0.0000  -0.0829  -0.2215    0.399
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.1608   0.0130   0.5546   0.5546   0.0036   0.0000  -0.0829  -0.2215    0.399
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.1607   0.0130   0.5545   0.5545   0.0036   0.0000  -0.0829  -0.2215    0.399
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.1607   0.0131   0.5544   0.5544   0.0036   0.0000  -0.0829  -0.2214    0.400
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.1606   0.0131   0.5542   0.5542   0.0036   0.0000  -0.0829  -0.2214    0.400
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.1606   0.0132   0.5539   0.5539   0.0037   0.0000  -0.0829  -0.2213    0.400
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.1605   0.0133   0.5536   0.5536   0.0037   0.0000  -0.0829  -0.2212    0.400
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.1604   0.0134   0.5533   0.5533   0.0037   0.0000  -0.0829  -0.2211    0.400
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.1603   0.0135   0.5529   0.5529   0.0037   0.0000  -0.0829  -0.2210    0.400
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.1601   0.0136   0.5524   0.5524   0.0038   0.0000  -0.0829  -0.2209    0.400
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.1600   0.0138   0.5519   0.5519   0.0038   0.0000  -0.0828  -0.2208    0.400
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.1598   0.0139   0.5513   0.5513   0.0039   0.0000  -0.0828  -0.2206    0.400
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.1596   0.0141   0.5506   0.5506   0.0039   0.0000  -0.0828  -0.2204    0.400
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.1594   0.0143   0.5498   0.5498   0.0040   0.0000  -0.0828  -0.2202    0.401
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.1592   0.0146   0.5490   0.5490   0.0040   0.0000  -0.0828  -0.2200    0.401
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.1589   0.0148   0.5481   0.5481   0.0041   0.0000  -0.0828  -0.2197    0.401
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.1586   0.0151   0.5471   0.5471   0.0041   0.0000  -0.0827  -0.2195    0.401
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.1583   0.0154   0.5459   0.5459   0.0042   0.0000  -0.0827  -0.2191    0.402
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.1579   0.0158   0.5447   0.5447   0.0043   0.0000  -0.0827  -0.2188    0.402
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.1575   0.0162   0.5433   0.5433   0.0044   0.0000  -0.0826  -0.2184    0.402
    21   0.0000   1.0365   0.0000   0.2900   0.0148   0.1571   0.0166   0.5417   0.5417   0.0045   0.0000  -0.0826  -0.2180    0.402
    22   0.0000   1.0870   0.0000   0.2900   0.0145   0.1566   0.0171   0.5400   0.5400   0.0046   0.0000  -0.0826  -0.2175    0.403
    23   0.0000   1.1375   0.0000   0.2900   0.0148   0.1560   0.0176   0.5382   0.5382   0.0047   0.0000  -0.0825  -0.2170    0.403
    24   0.0000   1.1880   0.0000   0.2900   0.0145   0.1554   0.0182   0.5361   0.5361   0.0048   0.0000  -0.0824  -0.2164    0.404
    25   0.0000   1.2258   0.0000   0.2900   0.0074   0.1549   0.0188   0.5343   0.5343   0.0049   0.0000  -0.0823  -0.2159    0.404
    26   0.0000   1.2512   0.0000   0.2900   0.0074   0.1544   0.0192   0.5327   0.5327   0.0050   0.0000  -0.0823  -0.2154    0.404
    27   0.0000   1.2890   0.0000   0.2900   0.0145   0.1538   0.0199   0.5306   0.5306   0.0051   0.0000  -0.0821  -0.2148    0.405
    28   0.0000   1.3395   0.0000   0.2895   0.0148   0.1529   0.0205   0.5283   0.5282   0.0053   0.0000  -0.0821  -0.2142    0.405
    29   0.0005   1.3905   0.0000   0.2885   0.0147   0.1518   0.0213   0.5263   0.5262   0.0054   0.0000  -0.0819  -0.2134    0.406
    30   0.0010   1.4410   0.0000   0.2870   0.0144   0.1504   0.0220   0.5242   0.5241   0.0054   0.0000  -0.0817  -0.2127    0.406
    31   0.0015   1.4915   0.0000   0.2845   0.0145   0.1487   0.0221   0.5229   0.5229   0.0055   0.0000  -0.0818  -0.2124    0.406
    32   0.0020   1.5420   0.0000   0.2820   0.0141   0.1468   0.0225   0.5209   0.5209   0.0057   0.0000  -0.0817  -0.2119    0.407
    33   0.0025   1.5925   0.0000   0.2790   0.0142   0.1447   0.0228   0.5189   0.5189   0.0058   0.0000  -0.0817  -0.2114    0.407
    34   0.0035   1.6430   0.0000   0.2750   0.0137   0.1423   0.0230   0.5177   0.5177   0.0059   0.0000  -0.0817  -0.2110    0.408
    35   0.0045   1.6935   0.0000   0.2710   0.0138   0.1397   0.0235   0.5158   0.5158   0.0059   0.0000  -0.0815  -0.2104    0.408
    36   0.0060   1.7440   0.0000   0.2660   0.0133   0.1368   0.0239   0.5145   0.5145   0.0059   0.0000  -0.0813  -0.2098    0.408
    37   0.0075   1.7945   0.0000   0.2600   0.0133   0.1335   0.0237   0.5137   0.5137   0.0060   0.0000  -0.0814  -0.2097    0.408
    38   0.0090   1.8455   0.0000   0.2540   0.0130   0.1300   0.0242   0.5118   0.5117   0.0061   0.0000  -0.0812  -0.2090    0.409
    39   0.0110   1.8960   0.0000   0.2470   0.0124   0.1260   0.0245   0.5103   0.5103   0.0061   0.0000  -0.0809  -0.2083    0.409
    40   0.0130   1.9465   0.0000   0.2390   0.0122   0.1216   0.0245   0.5090   0.5090   0.0061   0.0000  -0.0809  -0.2079    0.409
    41   0.0150   1.9970   0.0000   0.2305   0.0115   0.1168   0.0245   0.5069   0.5069   0.0062   0.0000  -0.0807  -0.2072    0.409
    42   0.0175   2.0475   0.0000   0.2210   0.0113   0.1115   0.0250   0.5048   0.5047   0.0062   0.0000  -0.0804  -0.2062    0.409
    43   0.0200   2.0980   0.0000   0.2100   0.0105   0.1055   0.0243   0.5028   0.5026   0.0063   0.0000  -0.0802  -0.2057    0.410
    44   0.0230   2.1485   0.0000   0.1980   0.0101   0.0990   0.0248   0.5003   0.5001   0.0063   0.0000  -0.0799  -0.2043    0.410
    45   0.0265   2.1990   0.0000   0.1845   0.0092   0.0916   0.0247   0.4966   0.4965   0.0062   0.0000  -0.0791  -0.2028    0.409
    46   0.0300   2.2495   0.0000   0.1685   0.0086   0.0831   0.0237   0.4930   0.4930   0.0063   0.0000  -0.0788  -0.2014    0.410
    47   0.0345   2.3005   0.0000   0.1500   0.0077   0.0732   0.0230   0.4881   0.4881   0.0063   0.0000  -0.0780  -0.1990    0.410
    48   0.0405   2.3510   0.0000   0.1280   0.0064   0.0616   0.0224   0.4815   0.4813   0.0060   0.0000  -0.0763  -0.1947    0.408
