 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.42769     Clsurf  =  -0.09460
     CYsurf  =  -0.00104     Cmsurf  =  -0.26870
     CDsurf  =   0.00614     Cnsurf  =  -0.00731
     CDisurf =   0.00614     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.85637     CDsurf  =   0.01230

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.2577   0.0209   0.8916   0.8916   0.0093   0.0000  -0.0821  -0.3043    0.342
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.2577   0.0209   0.8916   0.8916   0.0093   0.0000  -0.0821  -0.3042    0.342
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.2576   0.0210   0.8914   0.8914   0.0093   0.0000  -0.0821  -0.3042    0.342
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.2575   0.0211   0.8912   0.8912   0.0094   0.0000  -0.0821  -0.3041    0.342
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.2575   0.0211   0.8908   0.8908   0.0094   0.0000  -0.0821  -0.3041    0.342
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.2573   0.0213   0.8904   0.8904   0.0094   0.0000  -0.0821  -0.3039    0.342
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.2572   0.0214   0.8899   0.8899   0.0095   0.0000  -0.0821  -0.3038    0.342
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.2570   0.0216   0.8893   0.8893   0.0096   0.0000  -0.0821  -0.3037    0.342
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.2568   0.0217   0.8887   0.8887   0.0096   0.0000  -0.0821  -0.3035    0.342
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.2566   0.0220   0.8879   0.8879   0.0097   0.0000  -0.0821  -0.3033    0.342
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.2564   0.0222   0.8870   0.8870   0.0098   0.0000  -0.0820  -0.3030    0.342
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.2561   0.0225   0.8860   0.8860   0.0099   0.0000  -0.0820  -0.3028    0.343
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.2558   0.0228   0.8849   0.8849   0.0101   0.0000  -0.0820  -0.3025    0.343
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.2554   0.0231   0.8836   0.8836   0.0102   0.0000  -0.0820  -0.3021    0.343
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.2550   0.0235   0.8822   0.8822   0.0103   0.0000  -0.0819  -0.3018    0.343
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.2546   0.0239   0.8807   0.8807   0.0105   0.0000  -0.0819  -0.3014    0.343
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.2541   0.0244   0.8790   0.8790   0.0107   0.0000  -0.0819  -0.3009    0.343
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.2535   0.0249   0.8771   0.8771   0.0109   0.0000  -0.0818  -0.3004    0.343
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.2529   0.0254   0.8750   0.8750   0.0111   0.0000  -0.0818  -0.2998    0.343
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.2523   0.0261   0.8727   0.8727   0.0113   0.0000  -0.0817  -0.2992    0.344
    21   0.0000   1.0365   0.0000   0.2900   0.0148   0.2515   0.0268   0.8701   0.8701   0.0116   0.0000  -0.0817  -0.2985    0.344
    22   0.0000   1.0870   0.0000   0.2900   0.0145   0.2507   0.0275   0.8672   0.8672   0.0119   0.0000  -0.0816  -0.2977    0.344
    23   0.0000   1.1375   0.0000   0.2900   0.0148   0.2498   0.0284   0.8641   0.8641   0.0122   0.0000  -0.0815  -0.2968    0.344
    24   0.0000   1.1880   0.0000   0.2900   0.0145   0.2488   0.0293   0.8606   0.8606   0.0125   0.0000  -0.0814  -0.2959    0.345
    25   0.0000   1.2258   0.0000   0.2900   0.0074   0.2479   0.0302   0.8576   0.8576   0.0128   0.0000  -0.0813  -0.2950    0.345
    26   0.0000   1.2512   0.0000   0.2900   0.0074   0.2472   0.0308   0.8549   0.8549   0.0130   0.0000  -0.0812  -0.2942    0.345
    27   0.0000   1.2890   0.0000   0.2900   0.0145   0.2462   0.0319   0.8514   0.8514   0.0133   0.0000  -0.0810  -0.2932    0.345
    28   0.0000   1.3395   0.0000   0.2895   0.0148   0.2446   0.0327   0.8474   0.8474   0.0138   0.0000  -0.0810  -0.2923    0.346
    29   0.0005   1.3905   0.0000   0.2885   0.0147   0.2428   0.0341   0.8440   0.8438   0.0139   0.0000  -0.0807  -0.2910    0.346
    30   0.0010   1.4410   0.0000   0.2870   0.0144   0.2405   0.0351   0.8406   0.8405   0.0141   0.0000  -0.0804  -0.2899    0.346
    31   0.0015   1.4915   0.0000   0.2845   0.0145   0.2378   0.0353   0.8384   0.8384   0.0144   0.0000  -0.0805  -0.2894    0.346
