 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.45827     Clsurf  =  -0.10128
     CYsurf  =  -0.00129     Cmsurf  =  -0.28454
     CDsurf  =   0.00705     Cnsurf  =  -0.00883
     CDisurf =   0.00705     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.91759     CDsurf  =   0.01411

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.2759   0.0224   0.9555   0.9555   0.0107   0.0000  -0.0819  -0.3197    0.336
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.2759   0.0225   0.9554   0.9554   0.0107   0.0000  -0.0819  -0.3197    0.336
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.2758   0.0225   0.9552   0.9552   0.0107   0.0000  -0.0819  -0.3197    0.336
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.2757   0.0226   0.9550   0.9550   0.0107   0.0000  -0.0819  -0.3196    0.336
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.2756   0.0227   0.9546   0.9546   0.0108   0.0000  -0.0819  -0.3195    0.336
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.2755   0.0228   0.9542   0.9542   0.0108   0.0000  -0.0819  -0.3194    0.336
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.2754   0.0229   0.9537   0.9537   0.0109   0.0000  -0.0819  -0.3193    0.336
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.2752   0.0231   0.9530   0.9530   0.0110   0.0000  -0.0819  -0.3191    0.336
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.2750   0.0233   0.9523   0.9523   0.0111   0.0000  -0.0819  -0.3189    0.336
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.2747   0.0235   0.9515   0.9515   0.0112   0.0000  -0.0818  -0.3187    0.336
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.2745   0.0238   0.9505   0.9505   0.0113   0.0000  -0.0818  -0.3184    0.336
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.2742   0.0241   0.9494   0.9494   0.0114   0.0000  -0.0818  -0.3181    0.336
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.2738   0.0244   0.9482   0.9482   0.0115   0.0000  -0.0818  -0.3178    0.336
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.2734   0.0248   0.9469   0.9469   0.0117   0.0000  -0.0817  -0.3175    0.336
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.2730   0.0252   0.9454   0.9454   0.0119   0.0000  -0.0817  -0.3171    0.336
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.2725   0.0256   0.9437   0.9437   0.0121   0.0000  -0.0817  -0.3166    0.337
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.2720   0.0261   0.9419   0.9419   0.0123   0.0000  -0.0816  -0.3161    0.337
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.2714   0.0267   0.9399   0.9399   0.0125   0.0000  -0.0816  -0.3156    0.337
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.2708   0.0273   0.9376   0.9376   0.0127   0.0000  -0.0815  -0.3150    0.337
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.2701   0.0279   0.9351   0.9351   0.0130   0.0000  -0.0815  -0.3143    0.337
    21   0.0000   1.0365   0.0000   0.2900   0.0148   0.2693   0.0287   0.9323   0.9323   0.0133   0.0000  -0.0814  -0.3135    0.337
    22   0.0000   1.0870   0.0000   0.2900   0.0145   0.2684   0.0295   0.9292   0.9292   0.0136   0.0000  -0.0813  -0.3127    0.338
    23   0.0000   1.1375   0.0000   0.2900   0.0148   0.2674   0.0304   0.9258   0.9258   0.0140   0.0000  -0.0812  -0.3118    0.338
    24   0.0000   1.1880   0.0000   0.2900   0.0145   0.2664   0.0314   0.9220   0.9220   0.0144   0.0000  -0.0811  -0.3107    0.338
    25   0.0000   1.2258   0.0000   0.2900   0.0074   0.2654   0.0323   0.9188   0.9188   0.0147   0.0000  -0.0810  -0.3098    0.338
    26   0.0000   1.2512   0.0000   0.2900   0.0074   0.2646   0.0330   0.9159   0.9159   0.0149   0.0000  -0.0809  -0.3090    0.338
    27   0.0000   1.2890   0.0000   0.2900   0.0145   0.2635   0.0341   0.9121   0.9121   0.0153   0.0000  -0.0807  -0.3079    0.339
    28   0.0000   1.3395   0.0000   0.2895   0.0148   0.2618   0.0351   0.9078   0.9078   0.0159   0.0000  -0.0807  -0.3069    0.339
    29   0.0005   1.3905   0.0000   0.2885   0.0147   0.2598   0.0365   0.9042   0.9040   0.0160   0.0000  -0.0804  -0.3055    0.339
    30   0.0010   1.4410   0.0000   0.2870   0.0144   0.2575   0.0376   0.9005   0.9004   0.0162   0.0000  -0.0801  -0.3044    0.339
    31   0.0015   1.4915   0.0000   0.2845   0.0145   0.2546   0.0378   0.8981   0.8981   0.0165   0.0000  -0.0802  -0.3038    0.339
    32   0.0020   1.5420   0.0000   0.2820   0.0141   0.2514   0.0386   0.8947   0.8946   0.0168   0.0000  -0.0801  -0.3029    0.340
    33   0.0025   1.5925   0.0000   0.2790   0.0142   0.2477   0.0391   0.8911   0.8911   0.0173   0.0000  -0.0801  -0.3021    0.340
    34   0.0035   1.6430   0.0000   0.2750   0.0137   0.2437   0.0393   0.8891   0.8891   0.0174   0.0000  -0.0800  -0.3015    0.340
    35   0.0045   1.6935   0.0000   0.2710   0.0138   0.2392   0.0402   0.8857   0.8857   0.0177   0.0000  -0.0798  -0.3004    0.340
    36   0.0060   1.7440   0.0000   0.2660   0.0133   0.2342   0.0409   0.8836   0.8835   0.0176   0.0000  -0.0795  -0.2994    0.340
