 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.27158     Clsurf  =  -0.06017
     CYsurf  =  -0.00046     Cmsurf  =  -0.16815
     CDsurf  =   0.00248     Cnsurf  =  -0.00313
     CDisurf =   0.00248     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.54378     CDsurf  =   0.00496

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.1639   0.0133   0.5661   0.5661   0.0038   0.0000  -0.0469  -0.1883    0.333
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.1639   0.0133   0.5661   0.5661   0.0038   0.0000  -0.0469  -0.1882    0.333
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.1639   0.0133   0.5660   0.5660   0.0038   0.0000  -0.0469  -0.1882    0.333
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.1638   0.0134   0.5658   0.5658   0.0038   0.0000  -0.0469  -0.1882    0.333
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.1638   0.0134   0.5656   0.5656   0.0038   0.0000  -0.0469  -0.1881    0.333
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.1637   0.0135   0.5653   0.5653   0.0038   0.0000  -0.0469  -0.1881    0.333
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.1636   0.0136   0.5650   0.5650   0.0038   0.0000  -0.0469  -0.1880    0.333
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.1635   0.0137   0.5647   0.5647   0.0039   0.0000  -0.0469  -0.1879    0.333
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.1634   0.0138   0.5642   0.5642   0.0039   0.0000  -0.0469  -0.1878    0.333
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.1632   0.0139   0.5637   0.5637   0.0039   0.0000  -0.0469  -0.1876    0.333
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.1631   0.0141   0.5632   0.5632   0.0040   0.0000  -0.0469  -0.1875    0.333
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.1629   0.0143   0.5625   0.5625   0.0040   0.0000  -0.0469  -0.1873    0.333
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.1627   0.0145   0.5618   0.5618   0.0041   0.0000  -0.0469  -0.1871    0.333
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.1625   0.0147   0.5610   0.5610   0.0041   0.0000  -0.0469  -0.1869    0.334
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.1622   0.0149   0.5602   0.5602   0.0042   0.0000  -0.0468  -0.1867    0.334
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.1619   0.0152   0.5592   0.5592   0.0042   0.0000  -0.0468  -0.1864    0.334
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.1616   0.0155   0.5581   0.5581   0.0043   0.0000  -0.0468  -0.1861    0.334
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.1613   0.0158   0.5569   0.5569   0.0044   0.0000  -0.0468  -0.1858    0.334
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.1609   0.0161   0.5556   0.5556   0.0045   0.0000  -0.0467  -0.1854    0.334
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.1605   0.0165   0.5541   0.5541   0.0046   0.0000  -0.0467  -0.1850    0.334
    21   0.0000   1.0365   0.0000   0.2900   0.0148   0.1600   0.0170   0.5525   0.5525   0.0047   0.0000  -0.0467  -0.1846    0.334
    22   0.0000   1.0870   0.0000   0.2900   0.0145   0.1595   0.0175   0.5507   0.5507   0.0048   0.0000  -0.0466  -0.1841    0.335
    23   0.0000   1.1375   0.0000   0.2900   0.0148   0.1589   0.0180   0.5487   0.5487   0.0049   0.0000  -0.0465  -0.1835    0.335
    24   0.0000   1.1880   0.0000   0.2900   0.0145   0.1582   0.0186   0.5464   0.5464   0.0051   0.0000  -0.0465  -0.1829    0.335
    25   0.0000   1.2258   0.0000   0.2900   0.0074   0.1577   0.0191   0.5445   0.5445   0.0052   0.0000  -0.0464  -0.1824    0.335
    26   0.0000   1.2512   0.0000   0.2900   0.0074   0.1572   0.0195   0.5428   0.5428   0.0053   0.0000  -0.0464  -0.1819    0.335
    27   0.0000   1.2890   0.0000   0.2900   0.0145   0.1566   0.0202   0.5406   0.5406   0.0054   0.0000  -0.0463  -0.1813    0.336
    28   0.0000   1.3395   0.0000   0.2895   0.0148   0.1556   0.0208   0.5381   0.5381   0.0056   0.0000  -0.0463  -0.1806    0.336
    29   0.0005   1.3905   0.0000   0.2885   0.0147   0.1544   0.0216   0.5360   0.5358   0.0056   0.0000  -0.0461  -0.1798    0.336
    30   0.0010   1.4410   0.0000   0.2870   0.0144   0.1530   0.0223   0.5338   0.5337   0.0057   0.0000  -0.0459  -0.1792    0.336
    31   0.0015   1.4915   0.0000   0.2845   0.0145   0.1513   0.0223   0.5324   0.5324   0.0058   0.0000  -0.0459  -0.1788    0.336
    32   0.0020   1.5420   0.0000   0.2820   0.0141   0.1494   0.0228   0.5304   0.5303   0.0059   0.0000  -0.0459  -0.1783    0.337
    33   0.0025   1.5925   0.0000   0.2790   0.0142   0.1472   0.0231   0.5282   0.5282   0.0061   0.0000  -0.0459  -0.1778    0.337
    34   0.0035   1.6430   0.0000   0.2750   0.0137   0.1448   0.0233   0.5271   0.5271   0.0061   0.0000  -0.0458  -0.1774    0.337
    35   0.0045   1.6935   0.0000   0.2710   0.0138   0.1421   0.0238   0.5251   0.5251   0.0063   0.0000  -0.0458  -0.1768    0.337
    36   0.0060   1.7440   0.0000   0.2660   0.0133   0.1392   0.0242   0.5238   0.5238   0.0062   0.0000  -0.0455  -0.1762    0.337
    37   0.0075   1.7945   0.0000   0.2600   0.0133   0.1358   0.0240   0.5230   0.5230   0.0062   0.0000  -0.0455  -0.1760    0.337
    38   0.0090   1.8455   0.0000   0.2540   0.0130   0.1322   0.0245   0.5211   0.5210   0.0064   0.0000  -0.0454  -0.1754    0.337
    39   0.0110   1.8960   0.0000   0.2470   0.0124   0.1282   0.0248   0.5196   0.5196   0.0063   0.0000  -0.0451  -0.1747    0.337
    40   0.0130   1.9465   0.0000   0.2390   0.0122   0.1237   0.0248   0.5184   0.5184   0.0063   0.0000  -0.0450  -0.1743    0.337
    41   0.0150   1.9970   0.0000   0.2305   0.0115   0.1189   0.0249   0.5163   0.5163   0.0064   0.0000  -0.0449  -0.1737    0.337
    42   0.0175   2.0475   0.0000   0.2210   0.0113   0.1135   0.0254   0.5143   0.5142   0.0064   0.0000  -0.0446  -0.1727    0.337
    43   0.0200   2.0980   0.0000   0.2100   0.0105   0.1075   0.0247   0.5125   0.5123   0.0065   0.0000  -0.0444  -0.1722    0.337
    44   0.0230   2.1485   0.0000   0.1980   0.0101   0.1008   0.0252   0.5101   0.5099   0.0064   0.0000  -0.0442  -0.1709    0.337
    45   0.0265   2.1990   0.0000   0.1845   0.0092   0.0933   0.0251   0.5066   0.5065   0.0063   0.0000  -0.0434  -0.1696    0.336
    46   0.0300   2.2495   0.0000   0.1685   0.0086   0.0847   0.0242   0.5034   0.5034   0.0064   0.0000  -0.0431  -0.1683    0.336
    47   0.0345   2.3005   0.0000   0.1500   0.0077   0.0748   0.0235   0.4991   0.4991   0.0063   0.0000  -0.0424  -0.1662    0.335
    48   0.0405   2.3510   0.0000   0.1280   0.0064   0.0630   0.0229   0.4933   0.4931   0.0058   0.0000  -0.0409  -0.1624    0.333
    49   0.0480   2.4015   0.0000   0.0995   0.0051   0.0481   0.0197   0.4839   0.4839   0.0050   0.0000  -0.0376  -0.1566    0.328
    50   0.0620   2.4520   0.0000   0.0415   0.0021   0.0251  -0.0319   0.6064   0.6062  -0.0074   0.0000  -0.0295  -0.1677    0.299
 ---------------------------------------------------------------
