 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.99008     Clsurf  =  -0.21162
     CYsurf  =  -0.00981     Cmsurf  =  -0.54427
     CDsurf  =   0.03204     Cnsurf  =  -0.05776
     CDisurf =   0.03204     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   1.98243     CDsurf  =   0.06416

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.5768   0.0490   2.0702   2.0702   0.0487   0.0000  -0.0748  -0.5720    0.286
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.5767   0.0490   2.0700   2.0700   0.0488   0.0000  -0.0748  -0.5720    0.286
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.5766   0.0491   2.0696   2.0696   0.0489   0.0000  -0.0748  -0.5719    0.286
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.5764   0.0493   2.0690   2.0690   0.0490   0.0000  -0.0748  -0.5718    0.286
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.5762   0.0495   2.0681   2.0681   0.0492   0.0000  -0.0748  -0.5716    0.286
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.5760   0.0498   2.0671   2.0671   0.0494   0.0000  -0.0748  -0.5713    0.286
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.5756   0.0501   2.0658   2.0658   0.0497   0.0000  -0.0748  -0.5710    0.286
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.5753   0.0505   2.0644   2.0644   0.0501   0.0000  -0.0747  -0.5707    0.286
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.5748   0.0509   2.0626   2.0626   0.0505   0.0000  -0.0747  -0.5702    0.286
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.5743   0.0514   2.0606   2.0606   0.0509   0.0000  -0.0747  -0.5698    0.286
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.5737   0.0520   2.0584   2.0584   0.0514   0.0000  -0.0746  -0.5692    0.286
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.5731   0.0526   2.0558   2.0558   0.0520   0.0000  -0.0746  -0.5686    0.286
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.5723   0.0533   2.0530   2.0530   0.0526   0.0000  -0.0745  -0.5679    0.286
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.5715   0.0541   2.0498   2.0498   0.0533   0.0000  -0.0745  -0.5672    0.286
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.5706   0.0550   2.0463   2.0463   0.0541   0.0000  -0.0744  -0.5663    0.286
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.5696   0.0560   2.0423   2.0423   0.0550   0.0000  -0.0743  -0.5654    0.286
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.5685   0.0571   2.0380   2.0380   0.0559   0.0000  -0.0743  -0.5643    0.286
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.5672   0.0582   2.0332   2.0332   0.0569   0.0000  -0.0742  -0.5632    0.286
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.5659   0.0596   2.0278   2.0278   0.0581   0.0000  -0.0741  -0.5619    0.287
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.5643   0.0610   2.0219   2.0219   0.0593   0.0000  -0.0739  -0.5604    0.287
    21   0.0000   1.0365   0.0000   0.2900   0.0148   0.5626   0.0626   2.0153   2.0153   0.0607   0.0000  -0.0738  -0.5588    0.287
    22   0.0000   1.0870   0.0000   0.2900   0.0145   0.5607   0.0644   2.0080   2.0080   0.0621   0.0000  -0.0736  -0.5570    0.287
    23   0.0000   1.1375   0.0000   0.2900   0.0148   0.5586   0.0663   1.9999   1.9999   0.0638   0.0000  -0.0734  -0.5550    0.287
    24   0.0000   1.1880   0.0000   0.2900   0.0145   0.5563   0.0685   1.9909   1.9909   0.0656   0.0000  -0.0732  -0.5528    0.287
    25   0.0000   1.2258   0.0000   0.2900   0.0074   0.5543   0.0704   1.9831   1.9831   0.0671   0.0000  -0.0730  -0.5508    0.287
    26   0.0000   1.2512   0.0000   0.2900   0.0074   0.5525   0.0718   1.9763   1.9763   0.0682   0.0000  -0.0728  -0.5491    0.287
    27   0.0000   1.2890   0.0000   0.2900   0.0145   0.5502   0.0741   1.9674   1.9674   0.0700   0.0000  -0.0726  -0.5469    0.287
    28   0.0000   1.3395   0.0000   0.2895   0.0148   0.5466   0.0761   1.9568   1.9568   0.0732   0.0000  -0.0726  -0.5446    0.287
    29   0.0005   1.3905   0.0000   0.2885   0.0147   0.5423   0.0790   1.9486   1.9482   0.0732   0.0000  -0.0719  -0.5417    0.287
    30   0.0010   1.4410   0.0000   0.2870   0.0144   0.5373   0.0814   1.9400   1.9398   0.0742   0.0000  -0.0714  -0.5394    0.287
    31   0.0015   1.4915   0.0000   0.2845   0.0145   0.5313   0.0819   1.9346   1.9345   0.0754   0.0000  -0.0714  -0.5382    0.287
    32   0.0020   1.5420   0.0000   0.2820   0.0141   0.5246   0.0835   1.9265   1.9264   0.0771   0.0000  -0.0713  -0.5363    0.287
    33   0.0025   1.5925   0.0000   0.2790   0.0142   0.5170   0.0847   1.9180   1.9180   0.0797   0.0000  -0.0714  -0.5346    0.287
    34   0.0035   1.6430   0.0000   0.2750   0.0137   0.5085   0.0854   1.9137   1.9137   0.0797   0.0000  -0.0712  -0.5333    0.287
    35   0.0045   1.6935   0.0000   0.2710   0.0138   0.4991   0.0872   1.9057   1.9057   0.0814   0.0000  -0.0709  -0.5313    0.287
    36   0.0060   1.7440   0.0000   0.2660   0.0133   0.4887   0.0886   1.9015   1.9013   0.0804   0.0000  -0.0702  -0.5291    0.287
    37   0.0075   1.7945   0.0000   0.2600   0.0133   0.4771   0.0883   1.8987   1.8986   0.0808   0.0000  -0.0701  -0.5287    0.287
    38   0.0090   1.8455   0.0000   0.2540   0.0130   0.4643   0.0898   1.8911   1.8909   0.0824   0.0000  -0.0699  -0.5264    0.287
    39   0.0110   1.8960   0.0000   0.2470   0.0124   0.4503   0.0909   1.8861   1.8861   0.0814   0.0000  -0.0690  -0.5243    0.287
    40   0.0130   1.9465   0.0000   0.2390   0.0122   0.4348   0.0910   1.8819   1.8819   0.0816   0.0000  -0.0686  -0.5230    0.286
    41   0.0150   1.9970   0.0000   0.2305   0.0115   0.4177   0.0914   1.8741   1.8741   0.0830   0.0000  -0.0683  -0.5210    0.286
    42   0.0175   2.0475   0.0000   0.2210   0.0113   0.3989   0.0927   1.8673   1.8671   0.0820   0.0000  -0.0673  -0.5177    0.286
    43   0.0200   2.0980   0.0000   0.2100   0.0105   0.3778   0.0912   1.8612   1.8606   0.0831   0.0000  -0.0669  -0.5163    0.286
    44   0.0230   2.1485   0.0000   0.1980   0.0101   0.3547   0.0922   1.8530   1.8524   0.0824   0.0000  -0.0661  -0.5123    0.286
    45   0.0265   2.1990   0.0000   0.1845   0.0092   0.3285   0.0922   1.8419   1.8415   0.0806   0.0000  -0.0639  -0.5081    0.285
    46   0.0300   2.2495   0.0000   0.1685   0.0086   0.2984   0.0893   1.8316   1.8316   0.0814   0.0000  -0.0633  -0.5046    0.285
    47   0.0345   2.3005   0.0000   0.1500   0.0077   0.2637   0.0869   1.8181   1.8181   0.0797   0.0000  -0.0613  -0.4983    0.284
    48   0.0405   2.3510   0.0000   0.1280   0.0064   0.2226   0.0846   1.8017   1.8010   0.0730   0.0000  -0.0568  -0.4870    0.282
    49   0.0480   2.4015   0.0000   0.0995   0.0051   0.1705   0.0736   1.7777   1.7777   0.0619   0.0000  -0.0486  -0.4713    0.277
    50   0.0620   2.4520   0.0000   0.0415   0.0021   0.0908  -0.1038   2.3300   2.3296  -0.1076   0.0000  -0.0307  -0.5366    0.263
 ---------------------------------------------------------------
