 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.69986     Clsurf  =  -0.15306
     CYsurf  =  -0.00418     Cmsurf  =  -0.40689
     CDsurf  =   0.01630     Cnsurf  =  -0.02569
     CDisurf =   0.01630     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   1.40134     CDsurf  =   0.03263

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.4171   0.0344   1.4609   1.4609   0.0248   0.0000  -0.0795  -0.4391    0.304
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.4170   0.0344   1.4607   1.4607   0.0248   0.0000  -0.0795  -0.4390    0.304
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.4170   0.0345   1.4605   1.4605   0.0248   0.0000  -0.0795  -0.4390    0.304
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.4168   0.0346   1.4601   1.4601   0.0249   0.0000  -0.0795  -0.4388    0.304
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.4167   0.0348   1.4595   1.4595   0.0250   0.0000  -0.0795  -0.4387    0.304
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.4165   0.0350   1.4588   1.4588   0.0251   0.0000  -0.0795  -0.4385    0.304
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.4163   0.0352   1.4580   1.4580   0.0253   0.0000  -0.0795  -0.4383    0.305
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.4160   0.0354   1.4570   1.4570   0.0254   0.0000  -0.0794  -0.4381    0.305
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.4157   0.0358   1.4558   1.4558   0.0256   0.0000  -0.0794  -0.4378    0.305
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.4153   0.0361   1.4545   1.4545   0.0259   0.0000  -0.0794  -0.4374    0.305
