 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.16962     Clsurf  =  -0.03764
     CYsurf  =   0.00013     Cmsurf  =  -0.13321
     CDsurf  =   0.00097     Cnsurf  =   0.00019
     CDisurf =   0.00097     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.33963     CDsurf  =   0.00194

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.1024   0.0082   0.3530   0.3530   0.0015   0.0000  -0.0831  -0.1713    0.485
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.1023   0.0082   0.3529   0.3529   0.0015   0.0000  -0.0831  -0.1713    0.485
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.1023   0.0083   0.3529   0.3529   0.0015   0.0000  -0.0831  -0.1713    0.485
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.1023   0.0083   0.3528   0.3528   0.0015   0.0000  -0.0831  -0.1713    0.486
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.1023   0.0083   0.3527   0.3527   0.0015   0.0000  -0.0831  -0.1712    0.486
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.1022   0.0084   0.3525   0.3525   0.0015   0.0000  -0.0831  -0.1712    0.486
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.1022   0.0084   0.3523   0.3523   0.0015   0.0000  -0.0831  -0.1712    0.486
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.1021   0.0085   0.3521   0.3521   0.0015   0.0000  -0.0831  -0.1711    0.486
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.1020   0.0086   0.3519   0.3519   0.0015   0.0000  -0.0831  -0.1710    0.486
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.1020   0.0086   0.3516   0.3516   0.0015   0.0000  -0.0831  -0.1710    0.486
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.1019   0.0087   0.3512   0.3512   0.0015   0.0000  -0.0831  -0.1709    0.486
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.1018   0.0088   0.3509   0.3509   0.0016   0.0000  -0.0831  -0.1708    0.487
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.1016   0.0090   0.3505   0.3505   0.0016   0.0000  -0.0830  -0.1707    0.487
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.1015   0.0091   0.3500   0.3500   0.0016   0.0000  -0.0830  -0.1705    0.487
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.1014   0.0092   0.3495   0.3495   0.0016   0.0000  -0.0830  -0.1704    0.488
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.1012   0.0094   0.3489   0.3489   0.0016   0.0000  -0.0830  -0.1702    0.488
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.1010   0.0096   0.3483   0.3483   0.0017   0.0000  -0.0830  -0.1701    0.488
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.1008   0.0098   0.3476   0.3476   0.0017   0.0000  -0.0830  -0.1699    0.489
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.1006   0.0100   0.3469   0.3469   0.0017   0.0000  -0.0830  -0.1697    0.489
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.1004   0.0103   0.3460   0.3460   0.0018   0.0000  -0.0829  -0.1694    0.490
    21   0.0000   1.0365   0.0000   0.2900   0.0148   0.1001   0.0105   0.3451   0.3451   0.0018   0.0000  -0.0829  -0.1692    0.490
    22   0.0000   1.0870   0.0000   0.2900   0.0145   0.0998   0.0109   0.3441   0.3441   0.0019   0.0000  -0.0829  -0.1689    0.491
    23   0.0000   1.1375   0.0000   0.2900   0.0148   0.0995   0.0112   0.3430   0.3430   0.0019   0.0000  -0.0828  -0.1686    0.492
    24   0.0000   1.1880   0.0000   0.2900   0.0145   0.0991   0.0116   0.3417   0.3417   0.0020   0.0000  -0.0828  -0.1682    0.492
    25   0.0000   1.2258   0.0000   0.2900   0.0074   0.0988   0.0120   0.3407   0.3407   0.0020   0.0000  -0.0827  -0.1679    0.493
    26   0.0000   1.2512   0.0000   0.2900   0.0074   0.0985   0.0123   0.3397   0.3397   0.0020   0.0000  -0.0827  -0.1676    0.493
    27   0.0000   1.2890   0.0000   0.2900   0.0145   0.0982   0.0128   0.3385   0.3385   0.0021   0.0000  -0.0826  -0.1672    0.494
    28   0.0000   1.3395   0.0000   0.2895   0.0148   0.0976   0.0131   0.3371   0.3370   0.0021   0.0000  -0.0825  -0.1668    0.495
    29   0.0005   1.3905   0.0000   0.2885   0.0147   0.0969   0.0137   0.3359   0.3358   0.0021   0.0000  -0.0824  -0.1663    0.495
    30   0.0010   1.4410   0.0000   0.2870   0.0144   0.0960   0.0142   0.3346   0.3346   0.0022   0.0000  -0.0822  -0.1659    0.496
    31   0.0015   1.4915   0.0000   0.2845   0.0145   0.0950   0.0142   0.3338   0.3338   0.0022   0.0000  -0.0823  -0.1657    0.497
    32   0.0020   1.5420   0.0000   0.2820   0.0141   0.0938   0.0145   0.3326   0.3326   0.0023   0.0000  -0.0823  -0.1654    0.497
    33   0.0025   1.5925   0.0000   0.2790   0.0142   0.0924   0.0147   0.3313   0.3313   0.0023   0.0000  -0.0822  -0.1650    0.498
