 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   1.30719     Clsurf  =  -0.26484
     CYsurf  =  -0.02055     Cmsurf  =  -0.65152
     CDsurf  =   0.05345     Cnsurf  =  -0.11583
     CDisurf =   0.05345     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   2.61739     CDsurf  =   0.10702

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.7220   0.0654   2.7414   2.7414   0.0814   0.0000  -0.0369  -0.6593    0.263
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.7219   0.0655   2.7411   2.7411   0.0815   0.0000  -0.0369  -0.6592    0.263
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.7218   0.0656   2.7405   2.7405   0.0816   0.0000  -0.0369  -0.6591    0.263
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.7216   0.0658   2.7396   2.7396   0.0819   0.0000  -0.0368  -0.6589    0.263
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.7213   0.0661   2.7384   2.7384   0.0822   0.0000  -0.0368  -0.6587    0.263
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.7210   0.0664   2.7369   2.7369   0.0826   0.0000  -0.0368  -0.6583    0.263
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.7206   0.0669   2.7351   2.7351   0.0830   0.0000  -0.0368  -0.6580    0.263
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.7201   0.0674   2.7330   2.7330   0.0836   0.0000  -0.0367  -0.6575    0.263
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.7195   0.0680   2.7305   2.7305   0.0843   0.0000  -0.0367  -0.6570    0.263
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.7189   0.0686   2.7276   2.7276   0.0850   0.0000  -0.0367  -0.6564    0.263
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.7182   0.0694   2.7244   2.7244   0.0859   0.0000  -0.0366  -0.6557    0.263
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.7173   0.0703   2.7207   2.7207   0.0868   0.0000  -0.0366  -0.6550    0.263
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.7164   0.0712   2.7166   2.7166   0.0879   0.0000  -0.0365  -0.6541    0.263
