 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   1.52442     Clsurf  =  -0.29913
     CYsurf  =  -0.02710     Cmsurf  =  -0.74567
     CDsurf  =   0.07090     Cnsurf  =  -0.15460
     CDisurf =   0.07090     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   3.05234     CDsurf  =   0.14196

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.8154   0.0768   3.2028   3.2028   0.1079   0.0000  -0.0604  -0.7634    0.269
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.8153   0.0769   3.2025   3.2025   0.1080   0.0000  -0.0604  -0.7633    0.269
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.8152   0.0770   3.2018   3.2018   0.1082   0.0000  -0.0604  -0.7632    0.269
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.8149   0.0773   3.2007   3.2007   0.1085   0.0000  -0.0604  -0.7630    0.269
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.8146   0.0776   3.1992   3.1992   0.1090   0.0000  -0.0604  -0.7627    0.269
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.8143   0.0780   3.1974   3.1974   0.1095   0.0000  -0.0604  -0.7623    0.269
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.8138   0.0785   3.1952   3.1952   0.1101   0.0000  -0.0603  -0.7619    0.269
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.8133   0.0791   3.1926   3.1926   0.1109   0.0000  -0.0603  -0.7614    0.269
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.8126   0.0798   3.1895   3.1895   0.1118   0.0000  -0.0603  -0.7608    0.269
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.8119   0.0806   3.1860   3.1860   0.1128   0.0000  -0.0602  -0.7601    0.269
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.8111   0.0815   3.1820   3.1820   0.1139   0.0000  -0.0602  -0.7594    0.269
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.8101   0.0825   3.1775   3.1775   0.1152   0.0000  -0.0601  -0.7585    0.269
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.8091   0.0836   3.1725   3.1725   0.1166   0.0000  -0.0600  -0.7575    0.269
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.8079   0.0848   3.1670   3.1670   0.1181   0.0000  -0.0600  -0.7565    0.269
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.8066   0.0862   3.1608   3.1608   0.1198   0.0000  -0.0599  -0.7552    0.269
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.8052   0.0877   3.1539   3.1539   0.1217   0.0000  -0.0598  -0.7539    0.269
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.8036   0.0894   3.1462   3.1462   0.1238   0.0000  -0.0596  -0.7524    0.269
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.8018   0.0913   3.1378   3.1378   0.1261   0.0000  -0.0595  -0.7507    0.269
