 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.49010     Clsurf  =  -0.10821
     CYsurf  =  -0.00158     Cmsurf  =  -0.30095
     CDsurf  =   0.00805     Cnsurf  =  -0.01056
     CDisurf =   0.00805     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.98132     CDsurf  =   0.01612

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.2948   0.0240   1.0220   1.0220   0.0122   0.0000  -0.0817  -0.3358    0.330
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.2948   0.0240   1.0219   1.0219   0.0122   0.0000  -0.0817  -0.3358    0.330
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.2947   0.0241   1.0217   1.0217   0.0123   0.0000  -0.0817  -0.3357    0.330
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.2946   0.0242   1.0215   1.0215   0.0123   0.0000  -0.0817  -0.3356    0.330
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.2945   0.0243   1.0211   1.0211   0.0123   0.0000  -0.0817  -0.3355    0.330
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.2944   0.0244   1.0206   1.0206   0.0124   0.0000  -0.0816  -0.3354    0.330
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.2942   0.0245   1.0200   1.0200   0.0125   0.0000  -0.0816  -0.3353    0.330
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.2940   0.0247   1.0194   1.0194   0.0126   0.0000  -0.0816  -0.3351    0.330
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.2938   0.0249   1.0186   1.0186   0.0127   0.0000  -0.0816  -0.3349    0.330
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.2935   0.0252   1.0177   1.0177   0.0128   0.0000  -0.0816  -0.3346    0.330
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.2933   0.0255   1.0166   1.0166   0.0129   0.0000  -0.0816  -0.3344    0.330
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.2929   0.0258   1.0155   1.0155   0.0130   0.0000  -0.0815  -0.3341    0.330
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.2926   0.0261   1.0142   1.0142   0.0132   0.0000  -0.0815  -0.3337    0.330
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.2921   0.0265   1.0127   1.0127   0.0134   0.0000  -0.0815  -0.3333    0.330
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.2917   0.0270   1.0111   1.0111   0.0136   0.0000  -0.0815  -0.3329    0.331
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.2912   0.0274   1.0094   1.0094   0.0138   0.0000  -0.0814  -0.3324    0.331
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.2906   0.0280   1.0074   1.0074   0.0140   0.0000  -0.0814  -0.3319    0.331
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.2900   0.0285   1.0052   1.0052   0.0143   0.0000  -0.0813  -0.3313    0.331
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.2893   0.0292   1.0028   1.0028   0.0146   0.0000  -0.0813  -0.3307    0.331
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.2885   0.0299   1.0001   1.0001   0.0149   0.0000  -0.0812  -0.3300    0.331
