 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.27072     Clsurf  =  -0.06005
     CYsurf  =  -0.00012     Cmsurf  =  -0.18660
     CDsurf  =   0.00247     Cnsurf  =  -0.00161
     CDisurf =   0.00247     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.54206     CDsurf  =   0.00494

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.1635   0.0132   0.5639   0.5639   0.0037   0.0000  -0.0829  -0.2238    0.397
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.1634   0.0132   0.5639   0.5639   0.0037   0.0000  -0.0829  -0.2238    0.397
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.1634   0.0132   0.5638   0.5638   0.0037   0.0000  -0.0829  -0.2238    0.397
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.1634   0.0133   0.5636   0.5636   0.0038   0.0000  -0.0829  -0.2237    0.397
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.1633   0.0133   0.5634   0.5634   0.0038   0.0000  -0.0829  -0.2237    0.397
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.1632   0.0134   0.5632   0.5632   0.0038   0.0000  -0.0829  -0.2236    0.397
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.1632   0.0135   0.5629   0.5629   0.0038   0.0000  -0.0829  -0.2235    0.397
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.1631   0.0136   0.5625   0.5625   0.0038   0.0000  -0.0829  -0.2234    0.397
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.1629   0.0137   0.5621   0.5621   0.0039   0.0000  -0.0828  -0.2233    0.397
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.1628   0.0138   0.5616   0.5616   0.0039   0.0000  -0.0828  -0.2232    0.398
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.1626   0.0140   0.5611   0.5611   0.0039   0.0000  -0.0828  -0.2230    0.398
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.1625   0.0142   0.5604   0.5604   0.0040   0.0000  -0.0828  -0.2229    0.398
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.1623   0.0144   0.5598   0.5598   0.0040   0.0000  -0.0828  -0.2227    0.398
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.1620   0.0146   0.5590   0.5590   0.0041   0.0000  -0.0828  -0.2225    0.398
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.1618   0.0148   0.5581   0.5581   0.0041   0.0000  -0.0828  -0.2222    0.398
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.1615   0.0151   0.5572   0.5572   0.0042   0.0000  -0.0827  -0.2220    0.399
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.1612   0.0154   0.5562   0.5562   0.0043   0.0000  -0.0827  -0.2217    0.399
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.1609   0.0157   0.5550   0.5550   0.0044   0.0000  -0.0827  -0.2214    0.399
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.1605   0.0160   0.5537   0.5537   0.0044   0.0000  -0.0827  -0.2210    0.399
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.1601   0.0164   0.5523   0.5523   0.0045   0.0000  -0.0826  -0.2207    0.400
    21   0.0000   1.0365   0.0000   0.2900   0.0148   0.1597   0.0169   0.5508   0.5508   0.0046   0.0000  -0.0826  -0.2202    0.400
    22   0.0000   1.0870   0.0000   0.2900   0.0145   0.1592   0.0174   0.5490   0.5490   0.0048   0.0000  -0.0825  -0.2197    0.400
    23   0.0000   1.1375   0.0000   0.2900   0.0148   0.1586   0.0179   0.5471   0.5471   0.0049   0.0000  -0.0825  -0.2192    0.401
    24   0.0000   1.1880   0.0000   0.2900   0.0145   0.1580   0.0185   0.5450   0.5450   0.0050   0.0000  -0.0824  -0.2186    0.401
    25   0.0000   1.2258   0.0000   0.2900   0.0074   0.1575   0.0191   0.5432   0.5432   0.0051   0.0000  -0.0823  -0.2181    0.402
    26   0.0000   1.2512   0.0000   0.2900   0.0074   0.1570   0.0195   0.5415   0.5415   0.0052   0.0000  -0.0822  -0.2176    0.402
    27   0.0000   1.2890   0.0000   0.2900   0.0145   0.1564   0.0202   0.5394   0.5394   0.0053   0.0000  -0.0821  -0.2169    0.402
    28   0.0000   1.3395   0.0000   0.2895   0.0148   0.1554   0.0208   0.5370   0.5370   0.0055   0.0000  -0.0821  -0.2163    0.403
    29   0.0005   1.3905   0.0000   0.2885   0.0147   0.1543   0.0217   0.5350   0.5349   0.0055   0.0000  -0.0819  -0.2155    0.403
    30   0.0010   1.4410   0.0000   0.2870   0.0144   0.1529   0.0224   0.5329   0.5328   0.0056   0.0000  -0.0817  -0.2149    0.403
    31   0.0015   1.4915   0.0000   0.2845   0.0145   0.1512   0.0224   0.5315   0.5315   0.0057   0.0000  -0.0818  -0.2146    0.404
    32   0.0020   1.5420   0.0000   0.2820   0.0141   0.1493   0.0229   0.5295   0.5295   0.0059   0.0000  -0.0817  -0.2140    0.404
    33   0.0025   1.5925   0.0000   0.2790   0.0142   0.1471   0.0232   0.5275   0.5275   0.0060   0.0000  -0.0817  -0.2135    0.405
    34   0.0035   1.6430   0.0000   0.2750   0.0137   0.1447   0.0233   0.5263   0.5263   0.0061   0.0000  -0.0817  -0.2131    0.405
    35   0.0045   1.6935   0.0000   0.2710   0.0138   0.1420   0.0239   0.5243   0.5243   0.0061   0.0000  -0.0815  -0.2125    0.405
    36   0.0060   1.7440   0.0000   0.2660   0.0133   0.1391   0.0243   0.5231   0.5230   0.0061   0.0000  -0.0813  -0.2118    0.405
    37   0.0075   1.7945   0.0000   0.2600   0.0133   0.1357   0.0241   0.5222   0.5222   0.0062   0.0000  -0.0813  -0.2118    0.406
    38   0.0090   1.8455   0.0000   0.2540   0.0130   0.1321   0.0246   0.5202   0.5202   0.0063   0.0000  -0.0812  -0.2110    0.406
    39   0.0110   1.8960   0.0000   0.2470   0.0124   0.1281   0.0249   0.5187   0.5187   0.0063   0.0000  -0.0809  -0.2104    0.406
    40   0.0130   1.9465   0.0000   0.2390   0.0122   0.1236   0.0249   0.5174   0.5174   0.0063   0.0000  -0.0808  -0.2100    0.406
    41   0.0150   1.9970   0.0000   0.2305   0.0115   0.1187   0.0249   0.5153   0.5153   0.0064   0.0000  -0.0807  -0.2093    0.407
    42   0.0175   2.0475   0.0000   0.2210   0.0113   0.1134   0.0254   0.5132   0.5131   0.0064   0.0000  -0.0803  -0.2082    0.407
    43   0.0200   2.0980   0.0000   0.2100   0.0105   0.1073   0.0247   0.5112   0.5110   0.0065   0.0000  -0.0801  -0.2077    0.407
