 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   1.06354     Clsurf  =  -0.22363
     CYsurf  =  -0.01299     Cmsurf  =  -0.55505
     CDsurf  =   0.03645     Cnsurf  =  -0.07382
     CDisurf =   0.03645     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   2.12953     CDsurf  =   0.07299

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.6096   0.0528   2.2258   2.2258   0.0555   0.0000  -0.0406  -0.5661    0.268
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.6096   0.0529   2.2256   2.2256   0.0555   0.0000  -0.0406  -0.5660    0.268
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.6094   0.0530   2.2252   2.2252   0.0557   0.0000  -0.0405  -0.5659    0.268
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.6093   0.0531   2.2245   2.2245   0.0558   0.0000  -0.0405  -0.5658    0.268
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.6091   0.0534   2.2236   2.2236   0.0560   0.0000  -0.0405  -0.5656    0.268
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.6088   0.0537   2.2224   2.2224   0.0563   0.0000  -0.0405  -0.5653    0.268
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.6084   0.0540   2.2210   2.2210   0.0566   0.0000  -0.0405  -0.5650    0.268
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.6080   0.0544   2.2194   2.2194   0.0570   0.0000  -0.0405  -0.5646    0.268
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.6075   0.0549   2.2175   2.2175   0.0575   0.0000  -0.0404  -0.5642    0.268
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.6070   0.0554   2.2153   2.2153   0.0580   0.0000  -0.0404  -0.5637    0.268
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.6064   0.0560   2.2128   2.2128   0.0586   0.0000  -0.0404  -0.5631    0.268
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.6057   0.0567   2.2100   2.2100   0.0592   0.0000  -0.0403  -0.5624    0.268
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.6049   0.0575   2.2068   2.2068   0.0599   0.0000  -0.0403  -0.5617    0.268
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.6040   0.0584   2.2033   2.2033   0.0607   0.0000  -0.0402  -0.5609    0.268
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.6031   0.0593   2.1994   2.1994   0.0616   0.0000  -0.0401  -0.5600    0.268
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.6020   0.0604   2.1951   2.1951   0.0626   0.0000  -0.0400  -0.5590    0.268
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.6008   0.0615   2.1903   2.1903   0.0637   0.0000  -0.0400  -0.5579    0.268
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.5995   0.0628   2.1849   2.1849   0.0648   0.0000  -0.0398  -0.5566    0.268
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.5980   0.0642   2.1790   2.1790   0.0661   0.0000  -0.0397  -0.5552    0.268
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.5964   0.0658   2.1724   2.1724   0.0675   0.0000  -0.0396  -0.5537    0.268
    21   0.0000   1.0365   0.0000   0.2900   0.0148   0.5945   0.0675   2.1652   2.1652   0.0691   0.0000  -0.0394  -0.5520    0.268
    22   0.0000   1.0870   0.0000   0.2900   0.0145   0.5925   0.0694   2.1571   2.1571   0.0708   0.0000  -0.0393  -0.5501    0.268
    23   0.0000   1.1375   0.0000   0.2900   0.0148   0.5903   0.0715   2.1481   2.1481   0.0726   0.0000  -0.0391  -0.5479    0.268
    24   0.0000   1.1880   0.0000   0.2900   0.0145   0.5878   0.0738   2.1382   2.1382   0.0747   0.0000  -0.0389  -0.5456    0.268
