 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.47041     Clsurf  =  -0.10393
     CYsurf  =  -0.00140     Cmsurf  =  -0.29080
     CDsurf  =   0.00742     Cnsurf  =  -0.00947
     CDisurf =   0.00742     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.94190     CDsurf  =   0.01486

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.2831   0.0230   0.9809   0.9809   0.0113   0.0000  -0.0818  -0.3259    0.333
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.2831   0.0231   0.9808   0.9808   0.0113   0.0000  -0.0818  -0.3259    0.333
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.2830   0.0231   0.9806   0.9806   0.0113   0.0000  -0.0818  -0.3258    0.333
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.2830   0.0232   0.9803   0.9803   0.0113   0.0000  -0.0818  -0.3257    0.333
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.2828   0.0233   0.9800   0.9800   0.0114   0.0000  -0.0818  -0.3256    0.333
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.2827   0.0234   0.9795   0.9795   0.0114   0.0000  -0.0818  -0.3255    0.334
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.2826   0.0235   0.9790   0.9790   0.0115   0.0000  -0.0818  -0.3254    0.334
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.2824   0.0237   0.9783   0.9783   0.0116   0.0000  -0.0818  -0.3252    0.334
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.2822   0.0239   0.9776   0.9776   0.0117   0.0000  -0.0818  -0.3250    0.334
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.2819   0.0242   0.9767   0.9767   0.0118   0.0000  -0.0817  -0.3248    0.334
