 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.47264     Clsurf  =  -0.10413
     CYsurf  =  -0.00202     Cmsurf  =  -0.27264
     CDsurf  =   0.00747     Cnsurf  =  -0.01219
     CDisurf =   0.00747     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.94637     CDsurf  =   0.01495

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.2838   0.0232   0.9860   0.9860   0.0114   0.0000  -0.0461  -0.2907    0.297
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.2837   0.0232   0.9859   0.9859   0.0114   0.0000  -0.0461  -0.2907    0.297
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.2837   0.0233   0.9857   0.9857   0.0114   0.0000  -0.0461  -0.2906    0.297
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.2836   0.0233   0.9855   0.9855   0.0114   0.0000  -0.0461  -0.2906    0.297
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.2835   0.0234   0.9851   0.9851   0.0115   0.0000  -0.0461  -0.2905    0.297
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.2834   0.0236   0.9846   0.9846   0.0115   0.0000  -0.0461  -0.2904    0.297
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.2832   0.0237   0.9841   0.9841   0.0116   0.0000  -0.0461  -0.2902    0.297
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.2830   0.0239   0.9834   0.9834   0.0117   0.0000  -0.0460  -0.2900    0.297
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.2828   0.0241   0.9827   0.9827   0.0118   0.0000  -0.0460  -0.2898    0.297
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.2826   0.0243   0.9818   0.9818   0.0119   0.0000  -0.0460  -0.2896    0.297
