 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.23980     Clsurf  =  -0.05320
     CYsurf  =  -0.00002     Cmsurf  =  -0.17030
     CDsurf  =   0.00194     Cnsurf  =  -0.00091
     CDisurf =   0.00194     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.48016     CDsurf  =   0.00388

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.1448   0.0117   0.4994   0.4994   0.0029   0.0000  -0.0830  -0.2078    0.416
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.1448   0.0117   0.4993   0.4993   0.0029   0.0000  -0.0830  -0.2078    0.416
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.1448   0.0117   0.4993   0.4993   0.0029   0.0000  -0.0830  -0.2078    0.416
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.1447   0.0118   0.4991   0.4991   0.0029   0.0000  -0.0830  -0.2077    0.416
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.1447   0.0118   0.4990   0.4990   0.0030   0.0000  -0.0830  -0.2077    0.416
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.1446   0.0119   0.4987   0.4987   0.0030   0.0000  -0.0830  -0.2076    0.416
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.1445   0.0119   0.4985   0.4985   0.0030   0.0000  -0.0830  -0.2075    0.416
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.1444   0.0120   0.4982   0.4982   0.0030   0.0000  -0.0829  -0.2075    0.417
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.1443   0.0121   0.4978   0.4978   0.0030   0.0000  -0.0829  -0.2074    0.417
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.1442   0.0123   0.4974   0.4974   0.0031   0.0000  -0.0829  -0.2073    0.417
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.1441   0.0124   0.4969   0.4969   0.0031   0.0000  -0.0829  -0.2071    0.417
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.1439   0.0125   0.4964   0.4964   0.0031   0.0000  -0.0829  -0.2070    0.417
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.1437   0.0127   0.4958   0.4958   0.0032   0.0000  -0.0829  -0.2068    0.417
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.1435   0.0129   0.4951   0.4951   0.0032   0.0000  -0.0829  -0.2066    0.417
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.1433   0.0131   0.4943   0.4943   0.0033   0.0000  -0.0829  -0.2064    0.418
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.1431   0.0133   0.4935   0.4935   0.0033   0.0000  -0.0829  -0.2062    0.418
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.1428   0.0136   0.4926   0.4926   0.0034   0.0000  -0.0828  -0.2060    0.418
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.1425   0.0139   0.4916   0.4916   0.0034   0.0000  -0.0828  -0.2057    0.418
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.1422   0.0142   0.4905   0.4905   0.0035   0.0000  -0.0828  -0.2054    0.419
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.1419   0.0146   0.4892   0.4892   0.0036   0.0000  -0.0827  -0.2050    0.419
    21   0.0000   1.0365   0.0000   0.2900   0.0148   0.1415   0.0149   0.4879   0.4879   0.0036   0.0000  -0.0827  -0.2047    0.420
    22   0.0000   1.0870   0.0000   0.2900   0.0145   0.1410   0.0154   0.4864   0.4864   0.0037   0.0000  -0.0827  -0.2042    0.420
    23   0.0000   1.1375   0.0000   0.2900   0.0148   0.1405   0.0159   0.4847   0.4847   0.0038   0.0000  -0.0826  -0.2038    0.420
    24   0.0000   1.1880   0.0000   0.2900   0.0145   0.1400   0.0164   0.4828   0.4828   0.0039   0.0000  -0.0825  -0.2032    0.421
    25   0.0000   1.2258   0.0000   0.2900   0.0074   0.1395   0.0169   0.4812   0.4812   0.0040   0.0000  -0.0825  -0.2028    0.421
    26   0.0000   1.2512   0.0000   0.2900   0.0074   0.1391   0.0173   0.4798   0.4798   0.0041   0.0000  -0.0824  -0.2023    0.422
    27   0.0000   1.2890   0.0000   0.2900   0.0145   0.1386   0.0180   0.4780   0.4780   0.0042   0.0000  -0.0823  -0.2018    0.422
    28   0.0000   1.3395   0.0000   0.2895   0.0148   0.1377   0.0184   0.4759   0.4759   0.0043   0.0000  -0.0823  -0.2012    0.423
    29   0.0005   1.3905   0.0000   0.2885   0.0147   0.1367   0.0193   0.4741   0.4740   0.0043   0.0000  -0.0820  -0.2005    0.423
    30   0.0010   1.4410   0.0000   0.2870   0.0144   0.1355   0.0199   0.4723   0.4722   0.0044   0.0000  -0.0819  -0.1999    0.423
    31   0.0015   1.4915   0.0000   0.2845   0.0145   0.1340   0.0199   0.4711   0.4711   0.0045   0.0000  -0.0820  -0.1997    0.424
    32   0.0020   1.5420   0.0000   0.2820   0.0141   0.1323   0.0203   0.4693   0.4693   0.0046   0.0000  -0.0819  -0.1992    0.424
    33   0.0025   1.5925   0.0000   0.2790   0.0142   0.1304   0.0206   0.4675   0.4675   0.0047   0.0000  -0.0819  -0.1987    0.425
    34   0.0035   1.6430   0.0000   0.2750   0.0137   0.1283   0.0207   0.4664   0.4664   0.0047   0.0000  -0.0819  -0.1984    0.425
    35   0.0045   1.6935   0.0000   0.2710   0.0138   0.1259   0.0212   0.4647   0.4647   0.0048   0.0000  -0.0817  -0.1978    0.426
    36   0.0060   1.7440   0.0000   0.2660   0.0133   0.1233   0.0216   0.4636   0.4636   0.0048   0.0000  -0.0815  -0.1972    0.426
    37   0.0075   1.7945   0.0000   0.2600   0.0133   0.1203   0.0214   0.4628   0.4628   0.0049   0.0000  -0.0815  -0.1972    0.426
    38   0.0090   1.8455   0.0000   0.2540   0.0130   0.1171   0.0218   0.4611   0.4610   0.0049   0.0000  -0.0814  -0.1965    0.427
    39   0.0110   1.8960   0.0000   0.2470   0.0124   0.1135   0.0221   0.4597   0.4597   0.0049   0.0000  -0.0812  -0.1959    0.427
    40   0.0130   1.9465   0.0000   0.2390   0.0122   0.1096   0.0220   0.4585   0.4585   0.0050   0.0000  -0.0811  -0.1956    0.427
    41   0.0150   1.9970   0.0000   0.2305   0.0115   0.1052   0.0221   0.4566   0.4566   0.0050   0.0000  -0.0809  -0.1949    0.427
    42   0.0175   2.0475   0.0000   0.2210   0.0113   0.1005   0.0226   0.4547   0.4547   0.0050   0.0000  -0.0806  -0.1939    0.427
    43   0.0200   2.0980   0.0000   0.2100   0.0105   0.0951   0.0219   0.4529   0.4527   0.0051   0.0000  -0.0805  -0.1935    0.428
    44   0.0230   2.1485   0.0000   0.1980   0.0101   0.0892   0.0223   0.4505   0.4504   0.0051   0.0000  -0.0802  -0.1922    0.428
    45   0.0265   2.1990   0.0000   0.1845   0.0092   0.0825   0.0223   0.4472   0.4471   0.0051   0.0000  -0.0794  -0.1908    0.428
    46   0.0300   2.2495   0.0000   0.1685   0.0086   0.0748   0.0213   0.4438   0.4438   0.0052   0.0000  -0.0792  -0.1895    0.428
    47   0.0345   2.3005   0.0000   0.1500   0.0077   0.0659   0.0207   0.4393   0.4393   0.0052   0.0000  -0.0784  -0.1873    0.428
    48   0.0405   2.3510   0.0000   0.1280   0.0064   0.0554   0.0201   0.4331   0.4329   0.0050   0.0000  -0.0768  -0.1832    0.427
    49   0.0480   2.4015   0.0000   0.0995   0.0051   0.0420   0.0171   0.4222   0.4222   0.0044   0.0000  -0.0732  -0.1766    0.423
    50   0.0620   2.4520   0.0000   0.0415   0.0021   0.0211  -0.0336   0.5098   0.5096  -0.0044   0.0000  -0.0647  -0.1783    0.377
 ---------------------------------------------------------------
