 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.77349     Clsurf  =  -0.16746
     CYsurf  =  -0.00638     Cmsurf  =  -0.42267
     CDsurf  =   0.01973     Cnsurf  =  -0.03682
     CDisurf =   0.01973     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   1.54875     CDsurf  =   0.03950

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.4564   0.0381   1.6158   1.6158   0.0300   0.0000  -0.0439  -0.4373    0.277
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.4564   0.0382   1.6157   1.6157   0.0301   0.0000  -0.0438  -0.4373    0.277
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.4563   0.0383   1.6154   1.6154   0.0301   0.0000  -0.0438  -0.4372    0.277
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.4562   0.0384   1.6149   1.6149   0.0302   0.0000  -0.0438  -0.4371    0.277
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.4560   0.0386   1.6143   1.6143   0.0303   0.0000  -0.0438  -0.4370    0.277
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.4558   0.0388   1.6135   1.6135   0.0305   0.0000  -0.0438  -0.4368    0.277
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.4556   0.0390   1.6125   1.6125   0.0306   0.0000  -0.0438  -0.4365    0.277
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.4553   0.0393   1.6114   1.6114   0.0308   0.0000  -0.0438  -0.4362    0.277
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.4549   0.0396   1.6101   1.6101   0.0311   0.0000  -0.0438  -0.4359    0.277
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.4545   0.0400   1.6086   1.6086   0.0314   0.0000  -0.0437  -0.4355    0.277
