 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   1.52270     Clsurf  =  -0.29891
     CYsurf  =  -0.02703     Cmsurf  =  -0.74519
     CDsurf  =   0.07076     Cnsurf  =  -0.15420
     CDisurf =   0.07076     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   3.04889     CDsurf  =   0.14169

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.8148   0.0767   3.1991   3.1991   0.1077   0.0000  -0.0605  -0.7629    0.269
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.8147   0.0768   3.1988   3.1988   0.1078   0.0000  -0.0605  -0.7628    0.269
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.8146   0.0769   3.1981   3.1981   0.1080   0.0000  -0.0605  -0.7627    0.269
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.8144   0.0772   3.1970   3.1970   0.1083   0.0000  -0.0605  -0.7625    0.269
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.8141   0.0775   3.1955   3.1955   0.1088   0.0000  -0.0605  -0.7622    0.269
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.8137   0.0779   3.1937   3.1937   0.1093   0.0000  -0.0604  -0.7619    0.269
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.8132   0.0784   3.1915   3.1915   0.1099   0.0000  -0.0604  -0.7615    0.269
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.8127   0.0790   3.1889   3.1889   0.1107   0.0000  -0.0604  -0.7610    0.269
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.8120   0.0797   3.1858   3.1858   0.1115   0.0000  -0.0603  -0.7604    0.269
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.8113   0.0805   3.1823   3.1823   0.1125   0.0000  -0.0603  -0.7597    0.269
