 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   1.83703     Clsurf  =  -0.31966
     CYsurf  =  -0.04436     Cmsurf  =  -0.77642
     CDsurf  =   0.09278     Cnsurf  =  -0.24745
     CDisurf =   0.09278     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   3.67828     CDsurf  =   0.18577

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.8715   0.0941   3.8776   3.8776   0.1413   0.0000  -0.0254  -0.7767    0.257
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.8714   0.0942   3.8771   3.8771   0.1415   0.0000  -0.0254  -0.7766    0.257
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.8713   0.0944   3.8761   3.8761   0.1417   0.0000  -0.0254  -0.7765    0.257
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.8710   0.0947   3.8747   3.8747   0.1421   0.0000  -0.0254  -0.7763    0.257
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.8707   0.0951   3.8727   3.8727   0.1427   0.0000  -0.0254  -0.7760    0.257
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.8703   0.0956   3.8702   3.8702   0.1434   0.0000  -0.0253  -0.7756    0.257
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.8698   0.0962   3.8672   3.8672   0.1442   0.0000  -0.0253  -0.7751    0.257
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.8692   0.0969   3.8637   3.8637   0.1452   0.0000  -0.0253  -0.7746    0.257
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.8685   0.0978   3.8596   3.8596   0.1463   0.0000  -0.0252  -0.7740    0.257
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.8677   0.0988   3.8548   3.8548   0.1477   0.0000  -0.0252  -0.7732    0.257
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.8669   0.0999   3.8494   3.8494   0.1491   0.0000  -0.0251  -0.7724    0.257
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.8659   0.1011   3.8434   3.8434   0.1508   0.0000  -0.0250  -0.7715    0.257
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.8647   0.1025   3.8366   3.8366   0.1526   0.0000  -0.0250  -0.7704    0.257
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.8635   0.1040   3.8291   3.8291   0.1547   0.0000  -0.0249  -0.7693    0.256
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.8621   0.1057   3.8207   3.8207   0.1569   0.0000  -0.0248  -0.7680    0.256
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.8606   0.1075   3.8115   3.8115   0.1594   0.0000  -0.0247  -0.7665    0.256
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.8588   0.1096   3.8012   3.8012   0.1621   0.0000  -0.0245  -0.7649    0.256
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.8569   0.1119   3.7898   3.7898   0.1651   0.0000  -0.0244  -0.7631    0.256
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.8548   0.1144   3.7771   3.7771   0.1684   0.0000  -0.0242  -0.7611    0.256
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.8525   0.1172   3.7632   3.7632   0.1720   0.0000  -0.0240  -0.7589    0.256
    21   0.0000   1.0365   0.0000   0.2900   0.0148   0.8498   0.1202   3.7477   3.7477   0.1759   0.0000  -0.0238  -0.7564    0.256
    22   0.0000   1.0870   0.0000   0.2900   0.0145   0.8469   0.1236   3.7306   3.7306   0.1802   0.0000  -0.0236  -0.7537    0.256
    23   0.0000   1.1375   0.0000   0.2900   0.0148   0.8437   0.1273   3.7115   3.7115   0.1850   0.0000  -0.0233  -0.7506    0.256
    24   0.0000   1.1880   0.0000   0.2900   0.0145   0.8401   0.1315   3.6905   3.6905   0.1902   0.0000  -0.0230  -0.7472    0.256
    25   0.0000   1.2258   0.0000   0.2900   0.0074   0.8370   0.1349   3.6723   3.6723   0.1947   0.0000  -0.0227  -0.7443    0.256
    26   0.0000   1.2512   0.0000   0.2900   0.0074   0.8343   0.1375   3.6567   3.6567   0.1981   0.0000  -0.0225  -0.7417    0.256
    27   0.0000   1.2890   0.0000   0.2900   0.0145   0.8307   0.1418   3.6355   3.6355   0.2036   0.0000  -0.0222  -0.7383    0.256
    28   0.0000   1.3395   0.0000   0.2895   0.0148   0.8252   0.1457   3.6079   3.6078   0.2137   0.0000  -0.0223  -0.7349    0.256
    29   0.0005   1.3905   0.0000   0.2885   0.0147   0.8187   0.1510   3.5920   3.5916   0.2132   0.0000  -0.0212  -0.7305    0.256
    30   0.0010   1.4410   0.0000   0.2870   0.0144   0.8111   0.1554   3.5736   3.5734   0.2159   0.0000  -0.0205  -0.7270    0.256
    31   0.0015   1.4915   0.0000   0.2845   0.0145   0.8020   0.1566   3.5612   3.5612   0.2191   0.0000  -0.0205  -0.7251    0.256
    32   0.0020   1.5420   0.0000   0.2820   0.0141   0.7918   0.1597   3.5421   3.5419   0.2243   0.0000  -0.0203  -0.7223    0.256
    33   0.0025   1.5925   0.0000   0.2790   0.0142   0.7803   0.1620   3.5200   3.5200   0.2326   0.0000  -0.0206  -0.7197    0.256
    34   0.0035   1.6430   0.0000   0.2750   0.0137   0.7675   0.1634   3.5128   3.5128   0.2315   0.0000  -0.0201  -0.7177    0.256
    35   0.0045   1.6935   0.0000   0.2710   0.0138   0.7534   0.1667   3.4934   3.4934   0.2372   0.0000  -0.0198  -0.7147    0.256
