 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   1.08803     Clsurf  =  -0.23006
     CYsurf  =  -0.01227     Cmsurf  =  -0.58723
     CDsurf  =   0.03837     Cnsurf  =  -0.07167
     CDisurf =   0.03837     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   2.17856     CDsurf  =   0.07683

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.6270   0.0540   2.2766   2.2766   0.0584   0.0000  -0.0728  -0.6133    0.282
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.6270   0.0540   2.2764   2.2764   0.0584   0.0000  -0.0728  -0.6133    0.282
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.6269   0.0541   2.2759   2.2759   0.0585   0.0000  -0.0728  -0.6132    0.282
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.6267   0.0543   2.2752   2.2752   0.0587   0.0000  -0.0728  -0.6130    0.282
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.6265   0.0546   2.2743   2.2743   0.0589   0.0000  -0.0727  -0.6128    0.282
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.6262   0.0548   2.2731   2.2731   0.0592   0.0000  -0.0727  -0.6126    0.282
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.6258   0.0552   2.2717   2.2717   0.0596   0.0000  -0.0727  -0.6122    0.282
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.6254   0.0556   2.2701   2.2701   0.0600   0.0000  -0.0727  -0.6118    0.282
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.6249   0.0561   2.2681   2.2681   0.0604   0.0000  -0.0727  -0.6114    0.282
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.6244   0.0566   2.2659   2.2659   0.0610   0.0000  -0.0726  -0.6109    0.282
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.6237   0.0573   2.2633   2.2633   0.0616   0.0000  -0.0726  -0.6103    0.282
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.6230   0.0580   2.2605   2.2605   0.0623   0.0000  -0.0725  -0.6096    0.282
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.6222   0.0588   2.2573   2.2573   0.0630   0.0000  -0.0725  -0.6089    0.282
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.6214   0.0596   2.2537   2.2537   0.0639   0.0000  -0.0724  -0.6081    0.282
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.6204   0.0606   2.2498   2.2498   0.0648   0.0000  -0.0723  -0.6071    0.282
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.6193   0.0617   2.2454   2.2454   0.0658   0.0000  -0.0723  -0.6061    0.282
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.6180   0.0629   2.2405   2.2405   0.0670   0.0000  -0.0722  -0.6050    0.282
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.6167   0.0642   2.2351   2.2351   0.0682   0.0000  -0.0721  -0.6037    0.282
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.6152   0.0656   2.2290   2.2290   0.0696   0.0000  -0.0719  -0.6023    0.282
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.6135   0.0672   2.2224   2.2224   0.0710   0.0000  -0.0718  -0.6007    0.282
    21   0.0000   1.0365   0.0000   0.2900   0.0148   0.6117   0.0690   2.2150   2.2150   0.0727   0.0000  -0.0716  -0.5989    0.282
    22   0.0000   1.0870   0.0000   0.2900   0.0145   0.6096   0.0709   2.2068   2.2068   0.0744   0.0000  -0.0715  -0.5970    0.282
    23   0.0000   1.1375   0.0000   0.2900   0.0148   0.6073   0.0731   2.1977   2.1977   0.0764   0.0000  -0.0712  -0.5948    0.282
    24   0.0000   1.1880   0.0000   0.2900   0.0145   0.6048   0.0755   2.1877   2.1877   0.0785   0.0000  -0.0710  -0.5924    0.282
    25   0.0000   1.2258   0.0000   0.2900   0.0074   0.6026   0.0775   2.1790   2.1790   0.0803   0.0000  -0.0708  -0.5902    0.282
    26   0.0000   1.2512   0.0000   0.2900   0.0074   0.6006   0.0791   2.1714   2.1714   0.0817   0.0000  -0.0706  -0.5884    0.283
    27   0.0000   1.2890   0.0000   0.2900   0.0145   0.5981   0.0816   2.1614   2.1614   0.0839   0.0000  -0.0703  -0.5859    0.283
    28   0.0000   1.3395   0.0000   0.2895   0.0148   0.5942   0.0838   2.1494   2.1494   0.0877   0.0000  -0.0704  -0.5835    0.283
    29   0.0005   1.3905   0.0000   0.2885   0.0147   0.5896   0.0870   2.1403   2.1399   0.0878   0.0000  -0.0696  -0.5804    0.283
    30   0.0010   1.4410   0.0000   0.2870   0.0144   0.5841   0.0896   2.1308   2.1306   0.0889   0.0000  -0.0690  -0.5778    0.282
    31   0.0015   1.4915   0.0000   0.2845   0.0145   0.5776   0.0902   2.1247   2.1246   0.0904   0.0000  -0.0691  -0.5765    0.283
    32   0.0020   1.5420   0.0000   0.2820   0.0141   0.5702   0.0920   2.1157   2.1155   0.0924   0.0000  -0.0690  -0.5745    0.283
    33   0.0025   1.5925   0.0000   0.2790   0.0142   0.5620   0.0933   2.1060   2.1060   0.0956   0.0000  -0.0691  -0.5726    0.283
    34   0.0035   1.6430   0.0000   0.2750   0.0137   0.5527   0.0940   2.1014   2.1014   0.0954   0.0000  -0.0688  -0.5712    0.283
    35   0.0045   1.6935   0.0000   0.2710   0.0138   0.5426   0.0960   2.0924   2.0924   0.0975   0.0000  -0.0685  -0.5690    0.283
    36   0.0060   1.7440   0.0000   0.2660   0.0133   0.5313   0.0975   2.0878   2.0876   0.0963   0.0000  -0.0677  -0.5666    0.282
    37   0.0075   1.7945   0.0000   0.2600   0.0133   0.5186   0.0972   2.0848   2.0846   0.0968   0.0000  -0.0676  -0.5661    0.282
    38   0.0090   1.8455   0.0000   0.2540   0.0130   0.5047   0.0989   2.0762   2.0760   0.0987   0.0000  -0.0674  -0.5637    0.282
    39   0.0110   1.8960   0.0000   0.2470   0.0124   0.4895   0.1001   2.0708   2.0708   0.0974   0.0000  -0.0664  -0.5614    0.282
    40   0.0130   1.9465   0.0000   0.2390   0.0122   0.4726   0.1002   2.0662   2.0662   0.0976   0.0000  -0.0661  -0.5600    0.282
    41   0.0150   1.9970   0.0000   0.2305   0.0115   0.4541   0.1006   2.0576   2.0575   0.0994   0.0000  -0.0658  -0.5578    0.282
    42   0.0175   2.0475   0.0000   0.2210   0.0113   0.4337   0.1021   2.0501   2.0500   0.0981   0.0000  -0.0647  -0.5543    0.282
    43   0.0200   2.0980   0.0000   0.2100   0.0105   0.4108   0.1004   2.0434   2.0427   0.0994   0.0000  -0.0643  -0.5528    0.281
    44   0.0230   2.1485   0.0000   0.1980   0.0101   0.3856   0.1016   2.0345   2.0338   0.0985   0.0000  -0.0633  -0.5485    0.281
    45   0.0265   2.1990   0.0000   0.1845   0.0092   0.3571   0.1016   2.0225   2.0221   0.0964   0.0000  -0.0610  -0.5439    0.280
    46   0.0300   2.2495   0.0000   0.1685   0.0086   0.3245   0.0984   2.0113   2.0112   0.0973   0.0000  -0.0604  -0.5402    0.280
