 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.27799     Clsurf  =  -0.06159
     CYsurf  =  -0.00049     Cmsurf  =  -0.17152
     CDsurf  =   0.00260     Cnsurf  =  -0.00333
     CDisurf =   0.00260     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.55663     CDsurf  =   0.00520

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.1678   0.0136   0.5795   0.5795   0.0039   0.0000  -0.0469  -0.1916    0.331
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.1678   0.0136   0.5794   0.5794   0.0039   0.0000  -0.0469  -0.1915    0.331
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.1677   0.0136   0.5793   0.5793   0.0040   0.0000  -0.0469  -0.1915    0.331
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.1677   0.0137   0.5792   0.5792   0.0040   0.0000  -0.0469  -0.1915    0.331
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.1676   0.0137   0.5790   0.5790   0.0040   0.0000  -0.0469  -0.1914    0.331
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.1675   0.0138   0.5787   0.5787   0.0040   0.0000  -0.0469  -0.1914    0.331
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.1675   0.0139   0.5784   0.5784   0.0040   0.0000  -0.0469  -0.1913    0.331
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.1673   0.0140   0.5780   0.5780   0.0040   0.0000  -0.0469  -0.1912    0.331
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.1672   0.0141   0.5776   0.5776   0.0041   0.0000  -0.0469  -0.1910    0.331
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.1671   0.0143   0.5771   0.5771   0.0041   0.0000  -0.0469  -0.1909    0.331
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.1669   0.0144   0.5765   0.5765   0.0042   0.0000  -0.0469  -0.1908    0.331
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.1667   0.0146   0.5758   0.5758   0.0042   0.0000  -0.0469  -0.1906    0.331
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.1665   0.0148   0.5751   0.5751   0.0043   0.0000  -0.0468  -0.1904    0.331
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.1663   0.0150   0.5743   0.5743   0.0043   0.0000  -0.0468  -0.1902    0.332
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.1660   0.0153   0.5734   0.5734   0.0044   0.0000  -0.0468  -0.1899    0.332
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.1657   0.0155   0.5724   0.5724   0.0044   0.0000  -0.0468  -0.1897    0.332
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.1654   0.0158   0.5713   0.5713   0.0045   0.0000  -0.0468  -0.1894    0.332
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.1651   0.0162   0.5701   0.5701   0.0046   0.0000  -0.0467  -0.1890    0.332
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.1647   0.0165   0.5687   0.5687   0.0047   0.0000  -0.0467  -0.1887    0.332
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.1642   0.0169   0.5672   0.5672   0.0048   0.0000  -0.0467  -0.1882    0.332
    21   0.0000   1.0365   0.0000   0.2900   0.0148   0.1637   0.0174   0.5655   0.5655   0.0049   0.0000  -0.0466  -0.1878    0.332
    22   0.0000   1.0870   0.0000   0.2900   0.0145   0.1632   0.0179   0.5637   0.5637   0.0050   0.0000  -0.0466  -0.1873    0.333
    23   0.0000   1.1375   0.0000   0.2900   0.0148   0.1626   0.0184   0.5616   0.5616   0.0052   0.0000  -0.0465  -0.1867    0.333
    24   0.0000   1.1880   0.0000   0.2900   0.0145   0.1620   0.0191   0.5593   0.5593   0.0053   0.0000  -0.0465  -0.1861    0.333
    25   0.0000   1.2258   0.0000   0.2900   0.0074   0.1614   0.0196   0.5574   0.5574   0.0054   0.0000  -0.0464  -0.1855    0.333
    26   0.0000   1.2512   0.0000   0.2900   0.0074   0.1609   0.0200   0.5556   0.5556   0.0055   0.0000  -0.0463  -0.1850    0.333
    27   0.0000   1.2890   0.0000   0.2900   0.0145   0.1602   0.0207   0.5534   0.5534   0.0056   0.0000  -0.0463  -0.1844    0.334
