 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.99917     Clsurf  =  -0.21337
     CYsurf  =  -0.01002     Cmsurf  =  -0.54835
     CDsurf  =   0.03261     Cnsurf  =  -0.05899
     CDisurf =   0.03261     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   2.00065     CDsurf  =   0.06529

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    37   0.0075   1.7945   0.0000   0.2600   0.0133   0.4810   0.0891   1.9160   1.9159   0.0822   0.0000  -0.0698  -0.5322    0.286
    38   0.0090   1.8455   0.0000   0.2540   0.0130   0.4681   0.0907   1.9083   1.9081   0.0839   0.0000  -0.0696  -0.5300    0.286
    39   0.0110   1.8960   0.0000   0.2470   0.0124   0.4540   0.0918   1.9033   1.9033   0.0828   0.0000  -0.0687  -0.5278    0.286
    40   0.0130   1.9465   0.0000   0.2390   0.0122   0.4384   0.0918   1.8990   1.8990   0.0830   0.0000  -0.0684  -0.5265    0.286
    41   0.0150   1.9970   0.0000   0.2305   0.0115   0.4211   0.0922   1.8912   1.8912   0.0845   0.0000  -0.0681  -0.5245    0.286
    42   0.0175   2.0475   0.0000   0.2210   0.0113   0.4022   0.0936   1.8843   1.8841   0.0835   0.0000  -0.0671  -0.5212    0.286
    43   0.0200   2.0980   0.0000   0.2100   0.0105   0.3810   0.0920   1.8782   1.8775   0.0845   0.0000  -0.0667  -0.5198    0.286
    44   0.0230   2.1485   0.0000   0.1980   0.0101   0.3576   0.0931   1.8699   1.8692   0.0838   0.0000  -0.0658  -0.5157    0.285
    45   0.0265   2.1990   0.0000   0.1845   0.0092   0.3312   0.0931   1.8587   1.8583   0.0821   0.0000  -0.0636  -0.5115    0.284
    46   0.0300   2.2495   0.0000   0.1685   0.0086   0.3009   0.0901   1.8483   1.8483   0.0828   0.0000  -0.0631  -0.5079    0.284
    47   0.0345   2.3005   0.0000   0.1500   0.0077   0.2658   0.0878   1.8348   1.8348   0.0810   0.0000  -0.0610  -0.5017    0.283
    48   0.0405   2.3510   0.0000   0.1280   0.0064   0.2245   0.0854   1.8182   1.8175   0.0742   0.0000  -0.0565  -0.4902    0.281
    49   0.0480   2.4015   0.0000   0.0995   0.0051   0.1720   0.0743   1.7942   1.7941   0.0630   0.0000  -0.0482  -0.4745    0.277
    50   0.0620   2.4520   0.0000   0.0415   0.0021   0.0916  -0.1047   2.3532   2.3528  -0.1096   0.0000  -0.0303  -0.5405    0.263
 ---------------------------------------------------------------
