 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   2.05592     Clsurf  =  -0.32584
     CYsurf  =  -0.05563     Cmsurf  =  -0.79705
     CDsurf  =   0.10710     Cnsurf  =  -0.31215
     CDisurf =   0.10710     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   4.11656     CDsurf  =   0.21445

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.8883   0.1065   4.3538   4.3538   0.1631   0.0000  -0.0367  -0.8025    0.258
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.8882   0.1067   4.3532   4.3532   0.1633   0.0000  -0.0367  -0.8024    0.258
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.8881   0.1069   4.3520   4.3520   0.1636   0.0000  -0.0367  -0.8022    0.258
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.8878   0.1072   4.3503   4.3503   0.1641   0.0000  -0.0367  -0.8020    0.258
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.8875   0.1077   4.3479   4.3479   0.1647   0.0000  -0.0366  -0.8017    0.258
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.8871   0.1083   4.3449   4.3449   0.1655   0.0000  -0.0366  -0.8013    0.258
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.8866   0.1089   4.3413   4.3413   0.1664   0.0000  -0.0366  -0.8009    0.258
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.8860   0.1098   4.3371   4.3371   0.1676   0.0000  -0.0366  -0.8003    0.258
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.8853   0.1107   4.3321   4.3321   0.1689   0.0000  -0.0365  -0.7997    0.258
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.8845   0.1118   4.3264   4.3264   0.1704   0.0000  -0.0365  -0.7989    0.258
