 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.87897     Clsurf  =  -0.18981
     CYsurf  =  -0.00736     Cmsurf  =  -0.49326
     CDsurf  =   0.02546     Cnsurf  =  -0.04391
     CDisurf =   0.02546     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   1.75997     CDsurf  =   0.05097

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.5173   0.0434   1.8366   1.8366   0.0387   0.0000  -0.0769  -0.5228    0.292
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.5172   0.0434   1.8364   1.8364   0.0387   0.0000  -0.0769  -0.5228    0.292
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.5171   0.0435   1.8360   1.8360   0.0388   0.0000  -0.0769  -0.5227    0.292
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.5170   0.0437   1.8355   1.8355   0.0389   0.0000  -0.0768  -0.5225    0.292
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.5168   0.0438   1.8348   1.8348   0.0391   0.0000  -0.0768  -0.5224    0.292
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.5166   0.0441   1.8339   1.8339   0.0393   0.0000  -0.0768  -0.5221    0.292
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.5163   0.0444   1.8328   1.8328   0.0395   0.0000  -0.0768  -0.5219    0.292
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.5159   0.0447   1.8315   1.8315   0.0398   0.0000  -0.0768  -0.5216    0.292
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.5155   0.0451   1.8300   1.8300   0.0401   0.0000  -0.0768  -0.5212    0.292
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.5151   0.0455   1.8283   1.8283   0.0404   0.0000  -0.0767  -0.5208    0.292
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.5146   0.0460   1.8263   1.8263   0.0408   0.0000  -0.0767  -0.5203    0.292
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.5140   0.0466   1.8241   1.8241   0.0413   0.0000  -0.0767  -0.5197    0.292
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.5133   0.0472   1.8216   1.8216   0.0418   0.0000  -0.0766  -0.5191    0.292
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.5126   0.0479   1.8189   1.8189   0.0424   0.0000  -0.0766  -0.5185    0.292
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.5118   0.0487   1.8158   1.8158   0.0430   0.0000  -0.0765  -0.5177    0.292
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.5109   0.0496   1.8124   1.8124   0.0437   0.0000  -0.0764  -0.5168    0.292
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.5099   0.0505   1.8086   1.8086   0.0444   0.0000  -0.0764  -0.5159    0.292
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.5088   0.0516   1.8044   1.8044   0.0452   0.0000  -0.0763  -0.5149    0.292
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.5075   0.0527   1.7997   1.7997   0.0461   0.0000  -0.0762  -0.5137    0.292
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.5062   0.0540   1.7946   1.7946   0.0471   0.0000  -0.0760  -0.5124    0.292
    21   0.0000   1.0365   0.0000   0.2900   0.0148   0.5046   0.0554   1.7889   1.7889   0.0482   0.0000  -0.0759  -0.5110    0.292
    22   0.0000   1.0870   0.0000   0.2900   0.0145   0.5029   0.0570   1.7825   1.7825   0.0494   0.0000  -0.0758  -0.5093    0.293
    23   0.0000   1.1375   0.0000   0.2900   0.0148   0.5011   0.0587   1.7754   1.7754   0.0506   0.0000  -0.0756  -0.5075    0.293
    24   0.0000   1.1880   0.0000   0.2900   0.0145   0.4990   0.0607   1.7677   1.7677   0.0521   0.0000  -0.0754  -0.5056    0.293
    25   0.0000   1.2258   0.0000   0.2900   0.0074   0.4972   0.0623   1.7609   1.7609   0.0532   0.0000  -0.0752  -0.5038    0.293
    26   0.0000   1.2512   0.0000   0.2900   0.0074   0.4956   0.0636   1.7550   1.7550   0.0542   0.0000  -0.0750  -0.5023    0.293
    27   0.0000   1.2890   0.0000   0.2900   0.0145   0.4935   0.0656   1.7472   1.7472   0.0556   0.0000  -0.0748  -0.5003    0.293
    28   0.0000   1.3395   0.0000   0.2895   0.0148   0.4903   0.0674   1.7381   1.7381   0.0580   0.0000  -0.0749  -0.4983    0.293
    29   0.0005   1.3905   0.0000   0.2885   0.0147   0.4865   0.0700   1.7308   1.7305   0.0581   0.0000  -0.0742  -0.4957    0.293
