 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   1.10602     Clsurf  =  -0.23336
     CYsurf  =  -0.01275     Cmsurf  =  -0.59489
     CDsurf  =   0.03958     Cnsurf  =  -0.07440
     CDisurf =   0.03958     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   2.21458     CDsurf  =   0.07925

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.6360   0.0549   2.3146   2.3146   0.0602   0.0000  -0.0724  -0.6207    0.281
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.6360   0.0550   2.3143   2.3143   0.0603   0.0000  -0.0724  -0.6206    0.281
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.6359   0.0551   2.3139   2.3139   0.0604   0.0000  -0.0724  -0.6205    0.281
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.6357   0.0552   2.3132   2.3132   0.0606   0.0000  -0.0724  -0.6204    0.281
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.6355   0.0555   2.3122   2.3122   0.0608   0.0000  -0.0723  -0.6202    0.281
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.6352   0.0558   2.3110   2.3110   0.0611   0.0000  -0.0723  -0.6199    0.281
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.6348   0.0561   2.3096   2.3096   0.0614   0.0000  -0.0723  -0.6196    0.281
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.6344   0.0566   2.3079   2.3079   0.0619   0.0000  -0.0723  -0.6192    0.281
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.6339   0.0570   2.3059   2.3059   0.0624   0.0000  -0.0722  -0.6187    0.281
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.6333   0.0576   2.3036   2.3036   0.0629   0.0000  -0.0722  -0.6182    0.281
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.6327   0.0583   2.3010   2.3010   0.0635   0.0000  -0.0722  -0.6176    0.281
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.6320   0.0590   2.2981   2.2981   0.0642   0.0000  -0.0721  -0.6169    0.281
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.6312   0.0598   2.2948   2.2948   0.0650   0.0000  -0.0721  -0.6162    0.281
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.6303   0.0607   2.2912   2.2912   0.0659   0.0000  -0.0720  -0.6153    0.281
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.6292   0.0616   2.2872   2.2872   0.0669   0.0000  -0.0719  -0.6144    0.281
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.6281   0.0627   2.2827   2.2827   0.0679   0.0000  -0.0718  -0.6133    0.281
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.6269   0.0639   2.2777   2.2777   0.0691   0.0000  -0.0717  -0.6122    0.281
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.6255   0.0653   2.2722   2.2722   0.0704   0.0000  -0.0716  -0.6109    0.282
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.6240   0.0668   2.2660   2.2660   0.0718   0.0000  -0.0715  -0.6094    0.282
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.6223   0.0684   2.2592   2.2592   0.0733   0.0000  -0.0714  -0.6078    0.282
    21   0.0000   1.0365   0.0000   0.2900   0.0148   0.6204   0.0702   2.2517   2.2517   0.0750   0.0000  -0.0712  -0.6061    0.282
    22   0.0000   1.0870   0.0000   0.2900   0.0145   0.6183   0.0721   2.2434   2.2434   0.0768   0.0000  -0.0710  -0.6041    0.282
    23   0.0000   1.1375   0.0000   0.2900   0.0148   0.6160   0.0743   2.2341   2.2341   0.0788   0.0000  -0.0708  -0.6019    0.282
    24   0.0000   1.1880   0.0000   0.2900   0.0145   0.6134   0.0768   2.2238   2.2238   0.0810   0.0000  -0.0706  -0.5994    0.282
    25   0.0000   1.2258   0.0000   0.2900   0.0074   0.6112   0.0788   2.2150   2.2150   0.0829   0.0000  -0.0704  -0.5973    0.282
    26   0.0000   1.2512   0.0000   0.2900   0.0074   0.6092   0.0804   2.2072   2.2072   0.0843   0.0000  -0.0702  -0.5954    0.282
