 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.85999     Clsurf  =  -0.18600
     CYsurf  =  -0.00698     Cmsurf  =  -0.48433
     CDsurf  =   0.02440     Cnsurf  =  -0.04174
     CDisurf =   0.02440     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   1.72196     CDsurf  =   0.04885

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.5069   0.0424   1.7967   1.7967   0.0371   0.0000  -0.0772  -0.5142    0.293
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.5069   0.0425   1.7965   1.7965   0.0371   0.0000  -0.0772  -0.5141    0.293
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.5068   0.0426   1.7962   1.7962   0.0372   0.0000  -0.0772  -0.5140    0.293
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.5066   0.0427   1.7957   1.7957   0.0373   0.0000  -0.0772  -0.5139    0.293
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.5064   0.0429   1.7950   1.7950   0.0375   0.0000  -0.0772  -0.5137    0.293
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.5062   0.0431   1.7941   1.7941   0.0376   0.0000  -0.0771  -0.5135    0.293
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.5059   0.0434   1.7930   1.7930   0.0379   0.0000  -0.0771  -0.5133    0.293
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.5056   0.0437   1.7918   1.7918   0.0381   0.0000  -0.0771  -0.5130    0.293
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.5052   0.0441   1.7903   1.7903   0.0384   0.0000  -0.0771  -0.5126    0.293
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.5047   0.0445   1.7886   1.7886   0.0388   0.0000  -0.0770  -0.5122    0.293
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.5042   0.0450   1.7867   1.7867   0.0391   0.0000  -0.0770  -0.5117    0.293
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.5037   0.0456   1.7845   1.7845   0.0396   0.0000  -0.0770  -0.5112    0.293
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.5030   0.0462   1.7821   1.7821   0.0401   0.0000  -0.0769  -0.5106    0.293
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.5023   0.0469   1.7794   1.7794   0.0406   0.0000  -0.0769  -0.5099    0.293
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.5015   0.0476   1.7764   1.7764   0.0412   0.0000  -0.0768  -0.5092    0.293
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.5006   0.0485   1.7731   1.7731   0.0418   0.0000  -0.0768  -0.5083    0.293
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.4996   0.0494   1.7694   1.7694   0.0426   0.0000  -0.0767  -0.5074    0.293
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.4986   0.0504   1.7653   1.7653   0.0433   0.0000  -0.0766  -0.5064    0.293
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.4973   0.0516   1.7608   1.7608   0.0442   0.0000  -0.0765  -0.5052    0.293
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.4960   0.0528   1.7558   1.7558   0.0451   0.0000  -0.0764  -0.5040    0.294
    21   0.0000   1.0365   0.0000   0.2900   0.0148   0.4945   0.0542   1.7502   1.7502   0.0462   0.0000  -0.0763  -0.5026    0.294
    22   0.0000   1.0870   0.0000   0.2900   0.0145   0.4929   0.0557   1.7440   1.7440   0.0473   0.0000  -0.0761  -0.5010    0.294
    23   0.0000   1.1375   0.0000   0.2900   0.0148   0.4910   0.0575   1.7371   1.7371   0.0485   0.0000  -0.0759  -0.4992    0.294
    24   0.0000   1.1880   0.0000   0.2900   0.0145   0.4890   0.0594   1.7295   1.7295   0.0499   0.0000  -0.0757  -0.4973    0.294
    25   0.0000   1.2258   0.0000   0.2900   0.0074   0.4872   0.0610   1.7229   1.7229   0.0510   0.0000  -0.0756  -0.4956    0.294
    26   0.0000   1.2512   0.0000   0.2900   0.0074   0.4857   0.0622   1.7172   1.7172   0.0519   0.0000  -0.0754  -0.4941    0.294
    27   0.0000   1.2890   0.0000   0.2900   0.0145   0.4836   0.0642   1.7096   1.7096   0.0533   0.0000  -0.0752  -0.4921    0.294
    28   0.0000   1.3395   0.0000   0.2895   0.0148   0.4805   0.0660   1.7007   1.7007   0.0556   0.0000  -0.0752  -0.4901    0.294
    29   0.0005   1.3905   0.0000   0.2885   0.0147   0.4768   0.0685   1.6936   1.6933   0.0557   0.0000  -0.0746  -0.4876    0.294
    30   0.0010   1.4410   0.0000   0.2870   0.0144   0.4723   0.0705   1.6863   1.6861   0.0565   0.0000  -0.0741  -0.4855    0.294
    31   0.0015   1.4915   0.0000   0.2845   0.0145   0.4671   0.0710   1.6817   1.6816   0.0574   0.0000  -0.0742  -0.4845    0.294
    32   0.0020   1.5420   0.0000   0.2820   0.0141   0.4612   0.0724   1.6748   1.6747   0.0587   0.0000  -0.0740  -0.4829    0.294
    33   0.0025   1.5925   0.0000   0.2790   0.0142   0.4545   0.0734   1.6676   1.6676   0.0606   0.0000  -0.0742  -0.4813    0.294
    34   0.0035   1.6430   0.0000   0.2750   0.0137   0.4470   0.0740   1.6639   1.6639   0.0606   0.0000  -0.0739  -0.4802    0.294
    35   0.0045   1.6935   0.0000   0.2710   0.0138   0.4388   0.0756   1.6571   1.6571   0.0619   0.0000  -0.0737  -0.4784    0.294
    36   0.0060   1.7440   0.0000   0.2660   0.0133   0.4296   0.0768   1.6534   1.6532   0.0612   0.0000  -0.0730  -0.4764    0.294
    37   0.0075   1.7945   0.0000   0.2600   0.0133   0.4194   0.0765   1.6510   1.6508   0.0615   0.0000  -0.0729  -0.4761    0.294
    38   0.0090   1.8455   0.0000   0.2540   0.0130   0.4082   0.0779   1.6445   1.6443   0.0627   0.0000  -0.0728  -0.4741    0.294
    39   0.0110   1.8960   0.0000   0.2470   0.0124   0.3958   0.0788   1.6400   1.6400   0.0620   0.0000  -0.0720  -0.4722    0.294
    40   0.0130   1.9465   0.0000   0.2390   0.0122   0.3822   0.0788   1.6364   1.6364   0.0621   0.0000  -0.0717  -0.4711    0.294
    41   0.0150   1.9970   0.0000   0.2305   0.0115   0.3672   0.0792   1.6298   1.6297   0.0632   0.0000  -0.0714  -0.4693    0.294
    42   0.0175   2.0475   0.0000   0.2210   0.0113   0.3507   0.0804   1.6237   1.6236   0.0625   0.0000  -0.0705  -0.4664    0.293
    43   0.0200   2.0980   0.0000   0.2100   0.0105   0.3321   0.0790   1.6185   1.6179   0.0633   0.0000  -0.0701  -0.4651    0.293
    44   0.0230   2.1485   0.0000   0.1980   0.0101   0.3117   0.0799   1.6112   1.6106   0.0628   0.0000  -0.0694  -0.4615    0.293
    45   0.0265   2.1990   0.0000   0.1845   0.0092   0.2887   0.0799   1.6013   1.6010   0.0615   0.0000  -0.0674  -0.4578    0.292
    46   0.0300   2.2495   0.0000   0.1685   0.0086   0.2623   0.0773   1.5923   1.5923   0.0621   0.0000  -0.0669  -0.4546    0.292
    47   0.0345   2.3005   0.0000   0.1500   0.0077   0.2317   0.0753   1.5803   1.5803   0.0609   0.0000  -0.0651  -0.4490    0.291
    48   0.0405   2.3510   0.0000   0.1280   0.0064   0.1956   0.0732   1.5652   1.5646   0.0559   0.0000  -0.0611  -0.4388    0.289
    49   0.0480   2.4015   0.0000   0.0995   0.0051   0.1497   0.0636   1.5428   1.5428   0.0476   0.0000  -0.0536  -0.4246    0.285
    50   0.0620   2.4520   0.0000   0.0415   0.0021   0.0795  -0.0915   2.0023   2.0019  -0.0803   0.0000  -0.0371  -0.4794    0.269
 ---------------------------------------------------------------
