 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   1.01771     Clsurf  =  -0.21519
     CYsurf  =  -0.01178     Cmsurf  =  -0.53521
     CDsurf  =   0.03353     Cnsurf  =  -0.06707
     CDisurf =   0.03353     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   2.03776     CDsurf  =   0.06713

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.5866   0.0505   2.1292   2.1292   0.0510   0.0000  -0.0412  -0.5468    0.269
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.5865   0.0505   2.1290   2.1290   0.0511   0.0000  -0.0412  -0.5468    0.269
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.5864   0.0506   2.1286   2.1286   0.0512   0.0000  -0.0411  -0.5467    0.269
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.5863   0.0508   2.1279   2.1279   0.0513   0.0000  -0.0411  -0.5465    0.269
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.5861   0.0510   2.1271   2.1271   0.0515   0.0000  -0.0411  -0.5463    0.269
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.5858   0.0513   2.1260   2.1260   0.0518   0.0000  -0.0411  -0.5461    0.269
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.5855   0.0516   2.1247   2.1247   0.0521   0.0000  -0.0411  -0.5458    0.269
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.5851   0.0520   2.1231   2.1231   0.0524   0.0000  -0.0411  -0.5454    0.269
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.5846   0.0525   2.1213   2.1213   0.0528   0.0000  -0.0410  -0.5450    0.269
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.5841   0.0530   2.1192   2.1192   0.0533   0.0000  -0.0410  -0.5445    0.269
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.5835   0.0536   2.1168   2.1168   0.0539   0.0000  -0.0410  -0.5440    0.269
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.5828   0.0542   2.1142   2.1142   0.0545   0.0000  -0.0409  -0.5433    0.269
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.5821   0.0550   2.1112   2.1112   0.0551   0.0000  -0.0409  -0.5426    0.269
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.5812   0.0558   2.1079   2.1079   0.0559   0.0000  -0.0408  -0.5419    0.269
