 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.631949     Ave. chord Cave =    0.255127

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.17364     Clsurf  =  -0.03796
     CYsurf  =   0.00001     Cmsurf  =  -0.12427
     CDsurf  =   0.00103     Cnsurf  =  -0.00041
     CDisurf =   0.00103     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.35307     CDsurf  =   0.00210

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0229   0.0000   0.2900   0.0133   0.1064   0.0087   0.3669   0.3669   0.0016   0.0000  -0.0627  -0.1544    0.421
     2   0.0000   0.0688   0.0000   0.2900   0.0133   0.1064   0.0087   0.3669   0.3669   0.0016   0.0000  -0.0627  -0.1544    0.421
     3   0.0000   0.1146   0.0000   0.2900   0.0133   0.1064   0.0087   0.3668   0.3668   0.0016   0.0000  -0.0627  -0.1544    0.421
     4   0.0000   0.1604   0.0000   0.2900   0.0133   0.1063   0.0088   0.3667   0.3667   0.0016   0.0000  -0.0627  -0.1544    0.421
     5   0.0000   0.2063   0.0000   0.2900   0.0133   0.1063   0.0088   0.3666   0.3666   0.0016   0.0000  -0.0627  -0.1543    0.421
     6   0.0000   0.2521   0.0000   0.2900   0.0133   0.1063   0.0088   0.3665   0.3665   0.0016   0.0000  -0.0627  -0.1543    0.421
     7   0.0000   0.3025   0.0000   0.2900   0.0160   0.1062   0.0089   0.3663   0.3663   0.0016   0.0000  -0.0627  -0.1543    0.421
     8   0.0000   0.3575   0.0000   0.2900   0.0159   0.1062   0.0089   0.3661   0.3661   0.0016   0.0000  -0.0627  -0.1542    0.421
     9   0.0000   0.4125   0.0000   0.2900   0.0159   0.1061   0.0090   0.3658   0.3658   0.0017   0.0000  -0.0627  -0.1541    0.421
    10   0.0000   0.4675   0.0000   0.2900   0.0160   0.1060   0.0091   0.3654   0.3654   0.0017   0.0000  -0.0627  -0.1540    0.422
    11   0.0000   0.5225   0.0000   0.2900   0.0159   0.1059   0.0092   0.3651   0.3651   0.0017   0.0000  -0.0627  -0.1539    0.422
    12   0.0000   0.5730   0.0000   0.2900   0.0133   0.1057   0.0093   0.3647   0.3647   0.0017   0.0000  -0.0627  -0.1538    0.422
    13   0.0000   0.6190   0.0000   0.2900   0.0133   0.1056   0.0095   0.3642   0.3642   0.0017   0.0000  -0.0627  -0.1537    0.422
    14   0.0000   0.6650   0.0000   0.2900   0.0133   0.1055   0.0096   0.3638   0.3638   0.0018   0.0000  -0.0626  -0.1536    0.422
    15   0.0000   0.7110   0.0000   0.2900   0.0133   0.1053   0.0097   0.3633   0.3633   0.0018   0.0000  -0.0626  -0.1534    0.422
    16   0.0000   0.7570   0.0000   0.2900   0.0133   0.1052   0.0099   0.3627   0.3627   0.0018   0.0000  -0.0626  -0.1533    0.423
    17   0.0000   0.8030   0.0000   0.2900   0.0133   0.1050   0.0101   0.3621   0.3621   0.0018   0.0000  -0.0626  -0.1531    0.423
    18   0.0000   0.8535   0.0000   0.2900   0.0159   0.1048   0.0103   0.3614   0.3614   0.0019   0.0000  -0.0626  -0.1529    0.423
    19   0.0000   0.9085   0.0000   0.2900   0.0160   0.1045   0.0105   0.3605   0.3605   0.0019   0.0000  -0.0626  -0.1527    0.424
    20   0.0000   0.9635   0.0000   0.2900   0.0160   0.1043   0.0108   0.3596   0.3596   0.0019   0.0000  -0.0625  -0.1524    0.424
    21   0.0000   1.0185   0.0000   0.2900   0.0159   0.1040   0.0111   0.3585   0.3585   0.0020   0.0000  -0.0625  -0.1521    0.424
    22   0.0000   1.0735   0.0000   0.2900   0.0160   0.1036   0.0115   0.3573   0.3573   0.0020   0.0000  -0.0625  -0.1518    0.425
    23   0.0000   1.1239   0.0000   0.2899   0.0133   0.1032   0.0119   0.3560   0.3560   0.0021   0.0000  -0.0624  -0.1514    0.425
    24   0.0000   1.1697   0.0000   0.2897   0.0133   0.1028   0.0122   0.3549   0.3549   0.0021   0.0000  -0.0624  -0.1511    0.426
    25   0.0000   1.2156   0.0000   0.2896   0.0133   0.1024   0.0125   0.3535   0.3535   0.0022   0.0000  -0.0624  -0.1507    0.426
    26   0.0000   1.2614   0.0000   0.2894   0.0133   0.1019   0.0130   0.3520   0.3520   0.0023   0.0000  -0.0623  -0.1503    0.427
    27   0.0000   1.3072   0.0000   0.2893   0.0133   0.1013   0.0135   0.3504   0.3504   0.0023   0.0000  -0.0622  -0.1498    0.428
    28   0.0000   1.3531   0.0000   0.2891   0.0132   0.1007   0.0143   0.3484   0.3484   0.0024   0.0000  -0.0621  -0.1492    0.428
    29   0.0004   1.4035   0.0000   0.2876   0.0158   0.0998   0.0146   0.3472   0.3472   0.0024   0.0000  -0.0620  -0.1488    0.429
    30   0.0012   1.4585   0.0000   0.2848   0.0157   0.0987   0.0145   0.3465   0.3465   0.0025   0.0000  -0.0621  -0.1487    0.429
    31   0.0020   1.5135   0.0000   0.2820   0.0155   0.0974   0.0148   0.3454   0.3454   0.0025   0.0000  -0.0620  -0.1484    0.430
    32   0.0028   1.5685   0.0000   0.2792   0.0154   0.0960   0.0153   0.3439   0.3439   0.0025   0.0000  -0.0619  -0.1479    0.430
    33   0.0036   1.6235   0.0000   0.2764   0.0152   0.0945   0.0162   0.3418   0.3418   0.0026   0.0000  -0.0618  -0.1472    0.431
    34   0.0047   1.6740   0.0000   0.2723   0.0125   0.0927   0.0164   0.3405   0.3405   0.0026   0.0000  -0.0616  -0.1467    0.431
    35   0.0060   1.7200   0.0000   0.2670   0.0123   0.0908   0.0160   0.3402   0.3402   0.0027   0.0000  -0.0617  -0.1467    0.431
    36   0.0073   1.7660   0.0000   0.2617   0.0120   0.0888   0.0160   0.3394   0.3394   0.0027   0.0000  -0.0617  -0.1465    0.432
    37   0.0087   1.8120   0.0000   0.2563   0.0118   0.0867   0.0162   0.3381   0.3381   0.0027   0.0000  -0.0616  -0.1460    0.432
    38   0.0100   1.8580   0.0000   0.2510   0.0115   0.0844   0.0167   0.3361   0.3361   0.0028   0.0000  -0.0614  -0.1454    0.433
    39   0.0113   1.9040   0.0000   0.2457   0.0113   0.0819   0.0179   0.3332   0.3332   0.0028   0.0000  -0.0611  -0.1443    0.433
    40   0.0135   1.9545   0.0000   0.2371   0.0130   0.0787   0.0176   0.3319   0.3319   0.0028   0.0000  -0.0609  -0.1437    0.433
    41   0.0165   2.0095   0.0000   0.2253   0.0124   0.0748   0.0168   0.3319   0.3318   0.0028   0.0000  -0.0609  -0.1437    0.434
    42   0.0195   2.0645   0.0000   0.2135   0.0117   0.0705   0.0169   0.3301   0.3301   0.0029   0.0000  -0.0607  -0.1431    0.434
    43   0.0225   2.1195   0.0000   0.2017   0.0111   0.0658   0.0179   0.3261   0.3261   0.0029   0.0000  -0.0603  -0.1416    0.435
    44   0.0255   2.1745   0.0000   0.1899   0.0104   0.0604   0.0211   0.3183   0.3183   0.0030   0.0000  -0.0590  -0.1384    0.435
    45   0.0308   2.2249   0.0000   0.1687   0.0077   0.0534   0.0168   0.3166   0.3166   0.0027   0.0000  -0.0571  -0.1344    0.430
    46   0.0383   2.2708   0.0000   0.1380   0.0063   0.0455   0.0090   0.3295   0.3295   0.0022   0.0000  -0.0574  -0.1380    0.424
    47   0.0458   2.3166   0.0000   0.1073   0.0049   0.0370   0.0024   0.3452   0.3452   0.0015   0.0000  -0.0577  -0.1421    0.417
    48   0.0532   2.3624   0.0000   0.0767   0.0035   0.0281  -0.0051   0.3663   0.3663   0.0004   0.0000  -0.0580  -0.1476    0.408
    49   0.0607   2.4082   0.0000   0.0460   0.0021   0.0184  -0.0158   0.4002   0.4001  -0.0015   0.0000  -0.0584  -0.1563    0.396
    50   0.0682   2.4541   0.0000   0.0153   0.0007   0.0076  -0.0428   0.4962   0.4962  -0.0089   0.0000  -0.0594  -0.1810    0.370
 ---------------------------------------------------------------
