 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.15130     Clsurf  =  -0.03357
     CYsurf  =   0.00015     Cmsurf  =  -0.12350
     CDsurf  =   0.00077     Cnsurf  =   0.00037
     CDisurf =   0.00077     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.30294     CDsurf  =   0.00155

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.0913   0.0073   0.3147   0.3147   0.0012   0.0000  -0.0831  -0.1618    0.514
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.0913   0.0073   0.3147   0.3147   0.0012   0.0000  -0.0831  -0.1618    0.514
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.0912   0.0074   0.3147   0.3147   0.0012   0.0000  -0.0831  -0.1618    0.514
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.0912   0.0074   0.3146   0.3146   0.0012   0.0000  -0.0831  -0.1617    0.514
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.0912   0.0074   0.3145   0.3145   0.0012   0.0000  -0.0831  -0.1617    0.514
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.0912   0.0074   0.3143   0.3143   0.0012   0.0000  -0.0831  -0.1617    0.514
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.0911   0.0075   0.3142   0.3142   0.0012   0.0000  -0.0831  -0.1616    0.514
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.0911   0.0076   0.3140   0.3140   0.0012   0.0000  -0.0831  -0.1616    0.515
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.0910   0.0076   0.3138   0.3138   0.0012   0.0000  -0.0831  -0.1615    0.515
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.0909   0.0077   0.3135   0.3135   0.0012   0.0000  -0.0831  -0.1615    0.515
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.0908   0.0078   0.3132   0.3132   0.0012   0.0000  -0.0831  -0.1614    0.515
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.0907   0.0079   0.3129   0.3129   0.0012   0.0000  -0.0831  -0.1613    0.515
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.0906   0.0080   0.3125   0.3125   0.0013   0.0000  -0.0831  -0.1612    0.516
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.0905   0.0081   0.3121   0.3121   0.0013   0.0000  -0.0831  -0.1611    0.516
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.0904   0.0082   0.3117   0.3117   0.0013   0.0000  -0.0830  -0.1610    0.516
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.0902   0.0084   0.3112   0.3112   0.0013   0.0000  -0.0830  -0.1608    0.517
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.0901   0.0085   0.3107   0.3107   0.0013   0.0000  -0.0830  -0.1607    0.517
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.0899   0.0087   0.3100   0.3100   0.0014   0.0000  -0.0830  -0.1605    0.518
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.0897   0.0089   0.3094   0.3094   0.0014   0.0000  -0.0830  -0.1603    0.518
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.0895   0.0091   0.3086   0.3086   0.0014   0.0000  -0.0830  -0.1601    0.519
    21   0.0000   1.0365   0.0000   0.2900   0.0148   0.0893   0.0094   0.3078   0.3078   0.0014   0.0000  -0.0829  -0.1599    0.519
    22   0.0000   1.0870   0.0000   0.2900   0.0145   0.0890   0.0097   0.3069   0.3069   0.0015   0.0000  -0.0829  -0.1596    0.520
    23   0.0000   1.1375   0.0000   0.2900   0.0148   0.0887   0.0100   0.3060   0.3060   0.0015   0.0000  -0.0829  -0.1594    0.521
    24   0.0000   1.1880   0.0000   0.2900   0.0145   0.0884   0.0104   0.3049   0.3049   0.0016   0.0000  -0.0828  -0.1590    0.522
    25   0.0000   1.2258   0.0000   0.2900   0.0074   0.0881   0.0107   0.3040   0.3040   0.0016   0.0000  -0.0828  -0.1587    0.522
    26   0.0000   1.2512   0.0000   0.2900   0.0074   0.0879   0.0109   0.3031   0.3031   0.0016   0.0000  -0.0827  -0.1585    0.523
    27   0.0000   1.2890   0.0000   0.2900   0.0145   0.0876   0.0114   0.3021   0.3021   0.0016   0.0000  -0.0826  -0.1581    0.523
    28   0.0000   1.3395   0.0000   0.2895   0.0148   0.0871   0.0117   0.3008   0.3008   0.0017   0.0000  -0.0826  -0.1578    0.525
    29   0.0005   1.3905   0.0000   0.2885   0.0147   0.0865   0.0123   0.2998   0.2997   0.0017   0.0000  -0.0824  -0.1573    0.525
    30   0.0010   1.4410   0.0000   0.2870   0.0144   0.0857   0.0127   0.2987   0.2987   0.0017   0.0000  -0.0823  -0.1570    0.526
    31   0.0015   1.4915   0.0000   0.2845   0.0145   0.0848   0.0127   0.2980   0.2979   0.0018   0.0000  -0.0824  -0.1568    0.527
    32   0.0020   1.5420   0.0000   0.2820   0.0141   0.0837   0.0130   0.2969   0.2969   0.0018   0.0000  -0.0823  -0.1565    0.527
    33   0.0025   1.5925   0.0000   0.2790   0.0142   0.0825   0.0131   0.2957   0.2957   0.0018   0.0000  -0.0823  -0.1562    0.528
    34   0.0035   1.6430   0.0000   0.2750   0.0137   0.0811   0.0132   0.2951   0.2951   0.0019   0.0000  -0.0823  -0.1560    0.529
    35   0.0045   1.6935   0.0000   0.2710   0.0138   0.0797   0.0135   0.2940   0.2940   0.0019   0.0000  -0.0822  -0.1557    0.530
    36   0.0060   1.7440   0.0000   0.2660   0.0133   0.0780   0.0138   0.2933   0.2933   0.0019   0.0000  -0.0821  -0.1552    0.530
    37   0.0075   1.7945   0.0000   0.2600   0.0133   0.0761   0.0136   0.2927   0.2927   0.0019   0.0000  -0.0821  -0.1553    0.530
    38   0.0090   1.8455   0.0000   0.2540   0.0130   0.0741   0.0139   0.2916   0.2916   0.0020   0.0000  -0.0820  -0.1548    0.531
    39   0.0110   1.8960   0.0000   0.2470   0.0124   0.0718   0.0141   0.2907   0.2907   0.0020   0.0000  -0.0818  -0.1544    0.531
    40   0.0130   1.9465   0.0000   0.2390   0.0122   0.0693   0.0140   0.2899   0.2899   0.0020   0.0000  -0.0818  -0.1541    0.532
    41   0.0150   1.9970   0.0000   0.2305   0.0115   0.0665   0.0141   0.2886   0.2886   0.0020   0.0000  -0.0816  -0.1537    0.533
    42   0.0175   2.0475   0.0000   0.2210   0.0113   0.0635   0.0144   0.2873   0.2873   0.0020   0.0000  -0.0814  -0.1529    0.533
    43   0.0200   2.0980   0.0000   0.2100   0.0105   0.0600   0.0139   0.2860   0.2858   0.0021   0.0000  -0.0813  -0.1526    0.534
    44   0.0230   2.1485   0.0000   0.1980   0.0101   0.0563   0.0142   0.2843   0.2842   0.0021   0.0000  -0.0811  -0.1516    0.535
    45   0.0265   2.1990   0.0000   0.1845   0.0092   0.0520   0.0141   0.2819   0.2819   0.0021   0.0000  -0.0805  -0.1507    0.536
    46   0.0300   2.2495   0.0000   0.1685   0.0086   0.0471   0.0134   0.2793   0.2793   0.0022   0.0000  -0.0803  -0.1496    0.537
    47   0.0345   2.3005   0.0000   0.1500   0.0077   0.0414   0.0129   0.2759   0.2759   0.0022   0.0000  -0.0797  -0.1479    0.539
    48   0.0405   2.3510   0.0000   0.1280   0.0064   0.0347   0.0126   0.2711   0.2710   0.0022   0.0000  -0.0784  -0.1448    0.539
    49   0.0480   2.4015   0.0000   0.0995   0.0051   0.0261   0.0105   0.2623   0.2623   0.0020   0.0000  -0.0754  -0.1393    0.538
    50   0.0620   2.4520   0.0000   0.0415   0.0021   0.0125  -0.0254   0.3018   0.3017  -0.0014   0.0000  -0.0681  -0.1333    0.476
 ---------------------------------------------------------------
