 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.30435     Clsurf  =  -0.06748
     CYsurf  =  -0.00026     Cmsurf  =  -0.20429
     CDsurf  =   0.00312     Cnsurf  =  -0.00254
     CDisurf =   0.00312     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.60941     CDsurf  =   0.00624

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.1837   0.0149   0.6341   0.6341   0.0047   0.0000  -0.0828  -0.2412    0.381
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.1837   0.0149   0.6340   0.6340   0.0047   0.0000  -0.0828  -0.2411    0.381
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.1837   0.0149   0.6339   0.6339   0.0047   0.0000  -0.0828  -0.2411    0.381
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.1836   0.0149   0.6338   0.6338   0.0047   0.0000  -0.0828  -0.2411    0.381
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.1836   0.0150   0.6335   0.6335   0.0048   0.0000  -0.0828  -0.2410    0.381
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.1835   0.0151   0.6333   0.6333   0.0048   0.0000  -0.0827  -0.2409    0.381
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.1834   0.0152   0.6329   0.6329   0.0048   0.0000  -0.0827  -0.2408    0.381
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.1833   0.0153   0.6325   0.6325   0.0048   0.0000  -0.0827  -0.2407    0.381
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.1831   0.0154   0.6320   0.6320   0.0049   0.0000  -0.0827  -0.2406    0.381
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.1830   0.0156   0.6315   0.6315   0.0049   0.0000  -0.0827  -0.2405    0.381
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.1828   0.0158   0.6309   0.6309   0.0050   0.0000  -0.0827  -0.2403    0.381
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.1826   0.0159   0.6302   0.6302   0.0050   0.0000  -0.0827  -0.2401    0.381
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.1824   0.0162   0.6294   0.6294   0.0051   0.0000  -0.0827  -0.2399    0.381
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.1821   0.0164   0.6285   0.6285   0.0052   0.0000  -0.0827  -0.2397    0.382
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.1818   0.0167   0.6276   0.6276   0.0052   0.0000  -0.0826  -0.2394    0.382
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.1815   0.0170   0.6265   0.6265   0.0053   0.0000  -0.0826  -0.2391    0.382
