 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.89588     Clsurf  =  -0.19318
     CYsurf  =  -0.00771     Cmsurf  =  -0.50116
     CDsurf  =   0.02641     Cnsurf  =  -0.04589
     CDisurf =   0.02641     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   1.79381     CDsurf  =   0.05289

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.5265   0.0442   1.8721   1.8721   0.0402   0.0000  -0.0766  -0.5304    0.291
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.5264   0.0443   1.8719   1.8719   0.0402   0.0000  -0.0766  -0.5304    0.291
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.5263   0.0444   1.8715   1.8715   0.0403   0.0000  -0.0766  -0.5303    0.291
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.5262   0.0445   1.8710   1.8710   0.0404   0.0000  -0.0766  -0.5302    0.291
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.5260   0.0447   1.8703   1.8703   0.0406   0.0000  -0.0765  -0.5300    0.291
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.5258   0.0449   1.8693   1.8693   0.0407   0.0000  -0.0765  -0.5298    0.291
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.5255   0.0452   1.8682   1.8682   0.0410   0.0000  -0.0765  -0.5295    0.291
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.5251   0.0456   1.8669   1.8669   0.0413   0.0000  -0.0765  -0.5292    0.291
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.5247   0.0460   1.8654   1.8654   0.0416   0.0000  -0.0765  -0.5288    0.291
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.5242   0.0464   1.8636   1.8636   0.0420   0.0000  -0.0764  -0.5284    0.291
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.5237   0.0469   1.8616   1.8616   0.0424   0.0000  -0.0764  -0.5279    0.291
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.5231   0.0475   1.8593   1.8593   0.0429   0.0000  -0.0764  -0.5273    0.291
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.5225   0.0482   1.8568   1.8568   0.0434   0.0000  -0.0763  -0.5267    0.291
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.5217   0.0489   1.8540   1.8540   0.0440   0.0000  -0.0763  -0.5260    0.291
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.5209   0.0497   1.8508   1.8508   0.0446   0.0000  -0.0762  -0.5252    0.291
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.5200   0.0505   1.8473   1.8473   0.0453   0.0000  -0.0761  -0.5244    0.291
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.5189   0.0515   1.8435   1.8435   0.0461   0.0000  -0.0761  -0.5234    0.291
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.5178   0.0526   1.8392   1.8392   0.0469   0.0000  -0.0760  -0.5224    0.291
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.5165   0.0538   1.8344   1.8344   0.0479   0.0000  -0.0759  -0.5212    0.291
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.5152   0.0551   1.8291   1.8291   0.0489   0.0000  -0.0757  -0.5198    0.291
    21   0.0000   1.0365   0.0000   0.2900   0.0148   0.5136   0.0565   1.8233   1.8233   0.0500   0.0000  -0.0756  -0.5184    0.291
    22   0.0000   1.0870   0.0000   0.2900   0.0145   0.5119   0.0581   1.8168   1.8168   0.0512   0.0000  -0.0755  -0.5167    0.292
    23   0.0000   1.1375   0.0000   0.2900   0.0148   0.5100   0.0599   1.8096   1.8096   0.0526   0.0000  -0.0753  -0.5149    0.292
    24   0.0000   1.1880   0.0000   0.2900   0.0145   0.5079   0.0619   1.8016   1.8016   0.0540   0.0000  -0.0751  -0.5129    0.292
    25   0.0000   1.2258   0.0000   0.2900   0.0074   0.5060   0.0636   1.7947   1.7947   0.0553   0.0000  -0.0749  -0.5111    0.292
    26   0.0000   1.2512   0.0000   0.2900   0.0074   0.5044   0.0648   1.7887   1.7887   0.0562   0.0000  -0.0747  -0.5095    0.292
    27   0.0000   1.2890   0.0000   0.2900   0.0145   0.5023   0.0669   1.7807   1.7807   0.0577   0.0000  -0.0745  -0.5075    0.292
    28   0.0000   1.3395   0.0000   0.2895   0.0148   0.4990   0.0688   1.7714   1.7713   0.0602   0.0000  -0.0746  -0.5055    0.292
    29   0.0005   1.3905   0.0000   0.2885   0.0147   0.4951   0.0714   1.7640   1.7636   0.0603   0.0000  -0.0739  -0.5028    0.292
    30   0.0010   1.4410   0.0000   0.2870   0.0144   0.4906   0.0735   1.7563   1.7561   0.0611   0.0000  -0.0734  -0.5007    0.292
    31   0.0015   1.4915   0.0000   0.2845   0.0145   0.4851   0.0740   1.7515   1.7514   0.0622   0.0000  -0.0734  -0.4996    0.292
    32   0.0020   1.5420   0.0000   0.2820   0.0141   0.4789   0.0755   1.7443   1.7442   0.0635   0.0000  -0.0733  -0.4979    0.292
    33   0.0025   1.5925   0.0000   0.2790   0.0142   0.4720   0.0765   1.7367   1.7367   0.0657   0.0000  -0.0734  -0.4963    0.292
    34   0.0035   1.6430   0.0000   0.2750   0.0137   0.4642   0.0771   1.7329   1.7329   0.0656   0.0000  -0.0732  -0.4951    0.292
    35   0.0045   1.6935   0.0000   0.2710   0.0138   0.4557   0.0788   1.7258   1.7258   0.0670   0.0000  -0.0730  -0.4932    0.292
    36   0.0060   1.7440   0.0000   0.2660   0.0133   0.4462   0.0800   1.7219   1.7217   0.0663   0.0000  -0.0723  -0.4912    0.292
    37   0.0075   1.7945   0.0000   0.2600   0.0133   0.4355   0.0798   1.7194   1.7192   0.0666   0.0000  -0.0722  -0.4909    0.292
    38   0.0090   1.8455   0.0000   0.2540   0.0130   0.4239   0.0812   1.7126   1.7124   0.0679   0.0000  -0.0720  -0.4888    0.292
    39   0.0110   1.8960   0.0000   0.2470   0.0124   0.4111   0.0821   1.7080   1.7080   0.0671   0.0000  -0.0712  -0.4869    0.292
    40   0.0130   1.9465   0.0000   0.2390   0.0122   0.3969   0.0822   1.7042   1.7042   0.0673   0.0000  -0.0709  -0.4857    0.292
    41   0.0150   1.9970   0.0000   0.2305   0.0115   0.3813   0.0825   1.6973   1.6972   0.0684   0.0000  -0.0706  -0.4838    0.292
    42   0.0175   2.0475   0.0000   0.2210   0.0113   0.3642   0.0838   1.6910   1.6908   0.0676   0.0000  -0.0697  -0.4808    0.291
    43   0.0200   2.0980   0.0000   0.2100   0.0105   0.3449   0.0824   1.6855   1.6849   0.0685   0.0000  -0.0693  -0.4795    0.291
    44   0.0230   2.1485   0.0000   0.1980   0.0101   0.3238   0.0833   1.6780   1.6774   0.0680   0.0000  -0.0685  -0.4758    0.291
    45   0.0265   2.1990   0.0000   0.1845   0.0092   0.2998   0.0833   1.6678   1.6674   0.0666   0.0000  -0.0665  -0.4719    0.290
    46   0.0300   2.2495   0.0000   0.1685   0.0086   0.2724   0.0806   1.6584   1.6584   0.0672   0.0000  -0.0660  -0.4687    0.290
    47   0.0345   2.3005   0.0000   0.1500   0.0077   0.2406   0.0785   1.6460   1.6460   0.0658   0.0000  -0.0640  -0.4629    0.289
    48   0.0405   2.3510   0.0000   0.1280   0.0064   0.2032   0.0764   1.6304   1.6298   0.0604   0.0000  -0.0599  -0.4524    0.287
    49   0.0480   2.4015   0.0000   0.0995   0.0051   0.1556   0.0663   1.6076   1.6076   0.0514   0.0000  -0.0522  -0.4377    0.282
    50   0.0620   2.4520   0.0000   0.0415   0.0021   0.0827  -0.0949   2.0920   2.0915  -0.0875   0.0000  -0.0354  -0.4955    0.267
 ---------------------------------------------------------------
