 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.26144     Clsurf  =  -0.05793
     CYsurf  =  -0.00041     Cmsurf  =  -0.16283
     CDsurf  =   0.00230     Cnsurf  =  -0.00282
     CDisurf =   0.00230     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.52348     CDsurf  =   0.00460

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.1578   0.0128   0.5449   0.5449   0.0035   0.0000  -0.0470  -0.1830    0.336
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.1578   0.0128   0.5449   0.5449   0.0035   0.0000  -0.0470  -0.1830    0.336
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.1578   0.0128   0.5448   0.5448   0.0035   0.0000  -0.0470  -0.1830    0.336
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.1577   0.0129   0.5447   0.5447   0.0035   0.0000  -0.0470  -0.1830    0.336
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.1577   0.0129   0.5445   0.5445   0.0035   0.0000  -0.0470  -0.1829    0.336
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.1576   0.0130   0.5442   0.5442   0.0035   0.0000  -0.0470  -0.1828    0.336
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.1575   0.0131   0.5439   0.5439   0.0036   0.0000  -0.0470  -0.1828    0.336
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.1574   0.0132   0.5436   0.5436   0.0036   0.0000  -0.0470  -0.1827    0.336
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.1573   0.0133   0.5431   0.5431   0.0036   0.0000  -0.0469  -0.1825    0.336
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.1572   0.0134   0.5427   0.5427   0.0036   0.0000  -0.0469  -0.1824    0.336
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.1570   0.0136   0.5421   0.5421   0.0037   0.0000  -0.0469  -0.1823    0.337
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.1568   0.0137   0.5415   0.5415   0.0037   0.0000  -0.0469  -0.1821    0.337
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.1566   0.0139   0.5408   0.5408   0.0038   0.0000  -0.0469  -0.1819    0.337
