SG6041
1.000000 0.004577
0.998013 0.004862
0.992266 0.005859
0.983111 0.007604
0.970838 0.010043
0.955679 0.013048
0.937783 0.016457
0.917218 0.020194
0.894118 0.024272
0.868722 0.028666
0.841269 0.033305
0.812004 0.038096
0.781187 0.042909
0.749007 0.047505
0.715523 0.051766
0.680874 0.055723
0.645260 0.059298
0.608844 0.062459
0.571855 0.065195
0.534483 0.067464
0.496916 0.069263
0.459392 0.070570
0.422113 0.071371
0.385293 0.071673
0.349150 0.071464
0.313885 0.070745
0.279714 0.069521
0.246825 0.067791
0.215399 0.065570
0.185630 0.062863
0.157673 0.059682
0.131692 0.056059
0.107826 0.051987
0.086178 0.047494
0.066899 0.042615
0.050021 0.037337
0.035549 0.031753
0.023605 0.025884
0.014111 0.019777
0.007021 0.013690
0.002412 0.007685
0.000156 0.001940
0.000290 -0.002699
0.003777 -0.006464
0.010801 -0.010147
0.020731 -0.013554
0.033610 -0.016526
0.049479 -0.019102
0.068286 -0.021352
0.089895 -0.023353
0.114129 -0.025132
0.140813 -0.026696
0.169759 -0.028052
0.200768 -0.029200
0.233630 -0.030138
0.268124 -0.030864
0.304021 -0.031372
0.341083 -0.031656
0.379067 -0.031706
0.417722 -0.031506
0.456793 -0.031035
0.496038 -0.030240
0.535244 -0.029082
0.574233 -0.027555
0.612837 -0.025651
0.650899 -0.023352
0.688322 -0.020779
0.724924 -0.018142
0.760407 -0.015581
0.794475 -0.013198
0.826830 -0.011067
0.857179 -0.009242
0.885236 -0.007750
0.910725 -0.006595
0.933393 -0.005760
0.952999 -0.005194
0.969380 -0.004801
0.982441 -0.004545
0.992039 -0.004456
0.997977 -0.004505
0.999999 -0.004577
