re,cl,Cd,Cm,alpha
150000.0,-0.575,0.07771569461771305,0.002048055837768654,-8.870280287599476
150000.0,-0.5354489795918367,0.06651749121230106,-0.007166373634177768,-8.080395521630352
150000.0,-0.4958979591836734,0.05678563957792595,-0.015265474537403581,-7.344960275537709
150000.0,-0.45634693877551014,0.04839074305245106,-0.022350224623376363,-6.660515861877818
150000.0,-0.41679591836734686,0.041209183715329,-0.028516777472285183,-6.023668818553038
150000.0,-0.3772448979591836,0.03512312238760162,-0.03385646249304064,-5.431090908811808
150000.0,-0.33769387755102037,0.03002049863189997,-0.0384557849232748,-4.879519121248653
150000.0,-0.2981428571428571,0.025795030752444346,-0.04239642582934127,-4.365755669804179
150000.0,-0.2585918367346938,0.022346215795044297,-0.045755242106315167,-3.8866679937650774
150000.0,-0.21904081632653055,0.01957932954709858,-0.04860426647799309,-3.43918875776412
150000.0,-0.17948979591836728,0.017405426537595213,-0.05101070749689316,-3.0203158517801647
150000.0,-0.139938775510204,0.015741340037111418,-0.053036949544255,-2.6271123911381515
150000.0,-0.10038775510204079,0.01450968205781367,-0.05474055283003974,-2.256706716509104
150000.0,-0.060836734693877514,0.01363884335345767,-0.05617425339293004,-1.9062923939101282
150000.0,-0.02128571428571424,0.013062993419388354,-0.05738596310033003,-1.5731282147044143
150000.0,0.018265306122449032,0.012722080492539893,-0.05841876964836536,-1.254538195601236
150000.0,0.057816326530612305,0.012561831551435686,-0.059310936561883194,-0.9479115786559497
150000.0,0.09736734693877558,0.012533752316188373,-0.0600959031944522,-0.650702831269995
150000.0,0.13691836734693885,0.012595127248499823,-0.06080228472836257,-0.3604316461908951
150000.0,0.17646938775510213,0.012709019551661137,-0.06145387217462596,-0.07468294151225663
150000.0,0.2160204081632654,0.012844271170552654,-0.06206963237297558,0.20889313932623121
150000.0,0.25557142857142867,0.012975502791643945,-0.06266370799186612,0.4925812275387948
150000.0,0.29512244897959194,0.013083113842993809,-0.06324541752847376,0.7786007289935786
150000.0,0.3346734693877552,0.013153282494250289,-0.06381925530869627,1.069105824212642
150000.0,0.3742244897959184,0.013177965656650649,-0.06438489148715279,1.3661854683719625
150000.0,0.41377551020408165,0.013154898983021397,-0.0649371720471841,1.671863391301435
150000.0,0.4533265306122449,0.013087596867778268,-0.06546611880085242,1.988098097484869
150000.0,0.4928775510204082,0.012985352446926232,-0.06595692938894149,2.3167828660599925
150000.0,0.5324285714285715,0.012863237598059499,-0.06638997728095654,2.6597457508184488
150000.0,0.5719795918367347,0.012742102940361504,-0.06674081177512434,3.0187495802057995
150000.0,0.611530612244898,0.012648577834604912,-0.06698015799839314,3.395491957321521
150000.0,0.6510816326530613,0.012615070383151634,-0.06707391690643272,3.7916052599190078
150000.0,0.6906326530612246,0.012679767429952804,-0.06698316528363434,4.2086566404055725
150000.0,0.7301836734693878,0.0128866345605488,-0.06666415574311077,4.648148025842439
150000.0,0.7697346938775511,0.013285416102069217,-0.06606831672669634,5.111516117944755
150000.0,0.8092857142857144,0.013931635123232904,-0.06514225250494682,5.60013239308158
150000.0,0.8488367346938777,0.014886593434347922,-0.06382774317713949,6.115303102275891
150000.0,0.8883877551020409,0.016217371587311583,-0.062061744671273206,6.658269271204583
150000.0,0.9279387755102042,0.01799682887561042,-0.05977638874406826,7.23020670019847
150000.0,0.9674897959183675,0.020303603334320217,-0.05689898298096646,7.832225964242276
150000.0,1.0070408163265308,0.02322211174010596,-0.05335201079613117,8.465372412974647
150000.0,1.046591836734694,0.026842549611221914,-0.04905313143244721,9.130626170688142
150000.0,1.0861428571428573,0.03126089120751152,-0.04391517996152091,9.828902136329242
150000.0,1.1256938775510206,0.03657888953040753,-0.03784616728368015,10.561049983498343
150000.0,1.1652448979591838,0.04290407632293184,-0.030749280127974288,11.327854160449753
150000.0,1.2047959183673471,0.05034976206969563,-0.02252288105217416,12.130033890091703
150000.0,1.2443469387755104,0.0590350359968993,-0.013060508442772178,12.968243169986334
150000.0,1.2838979591836737,0.0690847660723325,-0.0022508765149821964,13.84307077234971
150000.0,1.3234489795918367,0.08062959900537407,0.010022124687260346,14.755040244051806
150000.0,1.363,0.0938059602469922,0.02387942929129863,15.704609906616522
