case,u,cl,cd,alpha,wing_cd,body_cd,misc_cd,power
u_14_9000m,14.0,0.07646146268866777,0.030847743289469536,-0.60781,0.019261529319752,0.004025249684952181,0.0075609642847653535,49.82272223814518
u_15_9000m,15.0,0.06660476779945676,0.030153541633641052,-0.70607,0.01862555124556755,0.00396702610330815,0.0075609642847653535,59.900721556237535
u_16_9000m,16.0,0.05853969635926575,0.029480336129318375,-0.7925,0.018005861424340446,0.003913510420212575,0.0075609642847653535,71.07425675451208
u_17_9000m,17.0,0.051843829035046675,0.028850153021990448,-0.86747,0.017425073391163743,0.0038641153460613493,0.0075609642847653535,83.42857641372312
u_18_9000m,18.0,0.046246113486263396,0.028258931847277513,-0.93529,0.01687971948898246,0.0038182480735296995,0.0075609642847653535,97.0047956776373
u_19_9000m,19.0,0.041516920033296434,0.027774973941904802,-0.9964700000000001,0.01643851137357261,0.0037754982835668436,0.0075609642847653535,112.13325032904915
u_20_9000m,20.0,0.03745924206512577,0.027611899760148134,-1.05188,0.016315424698324227,0.0037355107770585534,0.0075609642847653535,130.01882082570268
u_21_9000m,21.0,0.03398677977805351,0.027488557654670946,-1.10343,0.01622964689171199,0.0036979464781936,0.0075609642847653535,149.8406970868786
u_22_9000m,22.0,0.030967640432061055,0.027376724006624577,-1.16959,0.016153827937981882,0.0036619317838773413,0.0075609642847653535,171.58110804274483
u_23_9000m,23.0,0.02833869414910975,0.02727459711828167,-1.25637,0.016086663182385334,0.0036269696511309862,0.0075609642847653535,195.32678425877143
u_24_9000m,24.0,0.02603099133847019,0.027184113992067226,-1.34195,0.016029551453939847,0.0035935982533620257,0.0075609642847653535,221.19171489472575
u_25_9000m,25.0,0.02399496329753155,0.027104384950163072,-1.43045,0.01598192608779586,0.0035614945776018575,0.0075609642847653535,249.27546248728657
u_26_9000m,26.0,0.022184169030236078,0.02702892871358625,-1.51623,0.015937226519887084,0.003530737908933812,0.0075609642847653535,279.62038199828027
u_27_9000m,27.0,0.020579834516900847,0.026950242092151577,-1.59826,0.015888012597116606,0.003501265210269619,0.0075609642847653535,312.2294838805319
u_28_9000m,28.0,0.019125217558790854,0.026715995153904708,-1.65803,0.015681185411705302,0.003473845457434052,0.0075609642847653535,345.1957164913288
u_29_9000m,29.0,0.017838695376996474,0.026471954605137397,-1.71354,0.015463359103079402,0.003447631217292643,0.0075609642847653535,380.0143100791133
u_30_9000m,30.0,0.01666378252481317,0.026227119705586867,-1.76859,0.015243785866519817,0.003422369554301698,0.0075609642847653535,416.8063344051748
