SG6041
1.000000 0.003448
0.998013 0.003735
0.992266 0.004739
0.983111 0.006494
0.970838 0.008948
0.955679 0.011969
0.937783 0.015399
0.917218 0.019159
0.894118 0.023263
0.868722 0.027686
0.841269 0.032356
0.812004 0.037180
0.781187 0.042028
0.749007 0.046660
0.715523 0.050958
0.680874 0.054955
0.645260 0.058570
0.608844 0.061771
0.571855 0.064550
0.534483 0.066861
0.496916 0.068703
0.459392 0.070051
0.422113 0.070895
0.385293 0.071239
0.349150 0.071070
0.313885 0.070390
0.279714 0.069206
0.246825 0.067512
0.215399 0.065327
0.185630 0.062653
0.157673 0.059504
0.131692 0.055910
0.107826 0.051865
0.086178 0.047397
0.066899 0.042540
0.050021 0.037280
0.035549 0.031713
0.023605 0.025857
0.014111 0.019761
0.007021 0.013682
0.002412 0.007682
0.000156 0.001940
0.000290 -0.002699
0.003777 -0.006460
0.010801 -0.010135
0.020731 -0.013530
0.033610 -0.016488
0.049479 -0.019047
0.068286 -0.021274
0.089895 -0.023252
0.114129 -0.025004
0.140813 -0.026538
0.169759 -0.027860
0.200768 -0.028973
0.233630 -0.029875
0.268124 -0.030562
0.304021 -0.031029
0.341083 -0.031271
0.379067 -0.031278
0.417722 -0.031034
0.456793 -0.030519
0.496038 -0.029680
0.535244 -0.028478
0.574233 -0.026907
0.612837 -0.024959
0.650899 -0.022617
0.688322 -0.020003
0.724924 -0.017324
0.760407 -0.014723
0.794475 -0.012302
0.826830 -0.010134
0.857179 -0.008275
0.885236 -0.006751
0.910725 -0.005567
0.933393 -0.004707
0.952999 -0.004118
0.969380 -0.003707
0.982441 -0.003436
0.992039 -0.003337
0.997977 -0.003378
0.999999 -0.003448
