,0
0,2.522248085832465
1,1.8342421328212866
2,1.5177834628677676
3,1.3812314844392106
4,1.3322189495174002
5,1.3250008438687861
6,1.3372944093236836
7,1.3587248266260472
8,1.3888160649471502
9,1.426471260676397
10,1.4664727905198707
11,1.5082052580152236
12,1.5495931871584325
13,1.591253694800301
14,1.6326592995547682
15,1.6731282772325204
16,1.7126004451061074
17,1.7516659242056856
18,1.7892847314504465
19,1.8247239109440925
20,1.875712467637287
21,1.9286153602624285
22,1.9815586192880534
23,2.0337746650567845
24,2.0846811810990284
25,2.133844782563357
26,2.180863991300797
27,2.225633295946446
28,2.2680435087243693
29,2.3078148050178164
30,2.344385382839187
31,2.384548319062763
32,2.447074507516693
33,2.5123447053602286
34,2.5795312879537513
35,2.6479993413866354
36,2.7176928112595253
37,2.7886198927116794
38,2.8598485166523377
39,2.93159381265245
40,3.004218880935509
41,3.077045189696925
