SG6041
1.000000 0.008333
0.998013 0.008611
0.992266 0.009586
0.983111 0.011297
0.970838 0.013690
0.955679 0.016638
0.937783 0.019980
0.917218 0.023639
0.894118 0.027631
0.868722 0.031929
0.841269 0.036466
0.812004 0.041147
0.781187 0.045844
0.749007 0.050319
0.715523 0.054454
0.680874 0.058281
0.645260 0.061722
0.608844 0.064746
0.571855 0.067343
0.534483 0.069472
0.496916 0.071130
0.459392 0.072295
0.422113 0.072957
0.385293 0.073121
0.349150 0.072776
0.313885 0.071924
0.279714 0.070572
0.246825 0.068718
0.215399 0.066379
0.185630 0.063560
0.157673 0.060274
0.131692 0.056553
0.107826 0.052392
0.086178 0.047818
0.066899 0.042866
0.050021 0.037525
0.035549 0.031886
0.023605 0.025973
0.014111 0.019830
0.007021 0.013717
0.002412 0.007694
0.000156 0.001940
0.000290 -0.002700
0.003777 -0.006478
0.010801 -0.010188
0.020731 -0.013632
0.033610 -0.016652
0.049479 -0.019288
0.068286 -0.021608
0.089895 -0.023691
0.114129 -0.025561
0.140813 -0.027225
0.169759 -0.028690
0.200768 -0.029954
0.233630 -0.031016
0.268124 -0.031871
0.304021 -0.032515
0.341083 -0.032937
0.379067 -0.033130
0.417722 -0.033075
0.456793 -0.032751
0.496038 -0.032104
0.535244 -0.031092
0.574233 -0.029712
0.612837 -0.027953
0.650899 -0.025797
0.688322 -0.023365
0.724924 -0.020865
0.760407 -0.018438
0.794475 -0.016183
0.826830 -0.014173
0.857179 -0.012462
0.885236 -0.011075
0.910725 -0.010016
0.933393 -0.009266
0.952999 -0.008774
0.969380 -0.008442
0.982441 -0.008235
0.992039 -0.008183
0.997977 -0.008253
0.999999 -0.008333
