,,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
E387D,111,6.0,20.0,58.86,0.18692262669662266,0.000586,0.0005871,0.9921,58.86,20.0,0.025163688199112667,0.025749688199112667,8.108310236083131,498.9729376051157,168
E387D,112,7.0,20.0,68.67,0.21807639781272645,0.0007976,0.0007991,0.9921,68.67,20.0,0.02637260340000131,0.02717020340000131,8.555615766729284,526.4994317987251,168
E387D,113,8.0,20.0,78.48,0.2492301689288302,0.0010416,0.0010438,0.9921,78.48,20.0,0.027709182371634857,0.028750782371634857,9.053323721696898,557.127613642886,168
E387D,114,9.0,20.0,88.29,0.280383940044934,0.001318,0.0013212,0.9921,88.29,20.0,0.029135018635487543,0.030453018635487543,9.589340298507496,590.1132491389227,168
E387D,115,10.0,20.0,98.10000000000001,0.3115377111610378,0.0016269,0.0016313,0.9921,98.10000000000001,20.0,0.03061453915258045,0.03224143915258045,10.152495404427002,624.7689479647385,168
E387D,116,11.0,20.0,107.91000000000001,0.3426914822771416,0.0019681,0.0019742,0.9921,107.91000000000001,20.0,0.032115004323481494,0.034083104323481495,10.732416700606786,660.4564123450328,168
E387D,117,12.0,20.0,117.72,0.3738452533932453,0.0023417,0.0023497,0.9921,117.72,20.0,0.033606507988305424,0.035948207988305426,11.319718535872083,696.5980637459743,168
E387D,118,13.0,20.0,127.53,0.4049990245093491,0.0027475,0.0027581,0.9921,127.53,20.0,0.03506197742671384,0.03780947742671384,11.905813012933583,732.6654161805282,168
E387D,119,14.0,20.0,137.34,0.4361527956254529,0.0031856,0.0031992,0.9921,137.34,20.0,0.03645717335791517,0.03964277335791517,12.483098922175838,768.1907029031285,168
E387D,120,15.0,20.0,147.15,0.46730656674155663,0.0036559,0.0036732,0.9921,147.15,20.0,0.037770689940664695,0.0414265899406647,13.04480429683359,802.7571874974517,168
E387D,121,5.0,21.0,49.050000000000004,0.14128694383720536,0.0003349,0.0003354,0.9921,49.050000000000004,21.0,0.023709954187980022,0.02404485418798002,8.34755191024131,539.3802772771307,168
E387D,122,6.0,21.0,58.86,0.1695443326046464,0.0004822,0.000483,0.9921,58.86,21.0,0.024559958040506112,0.02504215804050611,8.693781736139229,561.7520506428424,168
E387D,123,7.0,21.0,68.67,0.19780172137208749,0.0006562,0.0006574,0.9921,68.67,21.0,0.02556882370100388,0.02622502370100388,9.1044322822666,588.2863936233803,168
E387D,124,8.0,21.0,78.48,0.22605911013952856,0.000857,0.0008587,0.9921,78.48,21.0,0.026704499584451133,0.027561499584451133,9.56841104989159,618.2665601468412,168
E387D,125,9.0,21.0,88.29,0.2543164989069696,0.0010845,0.0010869,0.9921,88.29,21.0,0.027936851889240888,0.029021351889240887,10.075221895998103,651.014337895262,168
E387D,126,10.0,21.0,98.10000000000001,0.2825738876744107,0.0013386,0.001342,0.9921,98.10000000000001,21.0,0.02923766459718141,0.030576264597181407,10.615034466453029,685.8945347554264,168
E387D,127,11.0,21.0,107.91000000000001,0.31083127644185177,0.0016195,0.0016239,0.9921,107.91000000000001,21.0,0.030580639473496173,0.032200139473496175,11.17878834575709,722.3217084950735,168
E387D,128,12.0,21.0,117.72,0.3390886652092928,0.001927,0.0019328,0.9921,117.72,21.0,0.0319413960668239,0.033868396066823896,11.757950040959507,759.7444641850758,168
E387D,129,13.0,21.0,127.53,0.36734605397673387,0.0022611,0.0022687,0.9921,127.53,21.0,0.03329747170921852,0.03555857170921852,12.34472128115973,797.6589135518595,168
E387D,130,14.0,21.0,137.34,0.39560344274417497,0.0026217,0.0026315,0.9921,137.34,21.0,0.034628321516149224,0.03725002151614922,12.931934867756565,835.6019453011934,168
E387D,131,15.0,21.0,147.15,0.423860831511616,0.0030089,0.0030212,0.9921,147.15,21.0,0.035915318386500396,0.0389242183865004,13.513158824199033,873.157954794399,168
E387D,132,5.0,22.0,49.050000000000004,0.1287345913888586,0.000278,0.0002784,0.9921,49.050000000000004,22.0,0.023392136132678362,0.023670136132678363,9.01871179130767,610.4974135654422,168
E387D,133,6.0,22.0,58.86,0.1544815096666303,0.0004003,0.0004009,0.9921,58.86,22.0,0.024084970230825512,0.02448527023082551,9.329291310633181,631.5212579505537,168
E387D,134,7.0,22.0,68.67,0.180228427944402,0.0005448,0.0005458,0.9921,68.67,22.0,0.02492450494638051,0.02546930494638051,9.704224747538081,656.9013675256547,168
E387D,135,8.0,22.0,78.48,0.20597534622217373,0.0007115,0.0007129,0.9921,78.48,22.0,0.025885657135785944,0.026597157135785945,10.133955011125373,685.9908007531021,168
E387D,136,9.0,22.0,88.29,0.23172226449994546,0.0009004,0.0009023,0.9921,88.29,22.0,0.026944665475944395,0.027845065475944394,10.609428645868034,718.1767083356823,168
E387D,137,10.0,22.0,98.10000000000001,0.2574691827777172,0.0011115,0.001114,0.9921,98.10000000000001,22.0,0.0280790904642184,0.029190590464218402,11.122095831609007,752.8803332166096,168
E387D,138,11.0,22.0,107.91000000000001,0.2832161010554889,0.0013447,0.0013481,0.9921,107.91000000000001,22.0,0.0292678144184305,0.030612514418430502,11.663872281913875,789.554431391093,168
E387D,139,12.0,22.0,117.72,0.3089630193332606,0.0016001,0.0016045,0.9921,117.72,22.0,0.030491041476863198,0.0320911414768632,12.227253549012849,827.6910094716391,168
E387D,140,13.0,22.0,127.53,0.3347099376110323,0.0018776,0.0018832,0.9921,127.53,22.0,0.03173029759825898,0.03360789759825898,12.805162617211451,866.8110079343135,168
E387D,141,14.0,22.0,137.34,0.360456855888804,0.0021772,0.0021843,0.9921,137.34,22.0,0.0329684305618203,0.035145630561820296,13.391064207832496,906.472038684046,168
E387D,142,15.0,22.0,147.15,0.38620377416657575,0.0024988,0.0025078,0.9921,147.15,22.0,0.034189609967209614,0.036688409967209616,13.978888575921456,946.26322667776,168
E387D,143,5.0,23.0,49.050000000000004,0.11778363370927705,0.0002327,0.0002331,0.9921,49.050000000000004,23.0,0.023148344234433606,0.023381044234433605,9.736838502789707,689.0685709666562,168
E387D,144,6.0,23.0,58.86,0.14134036045113244,0.0003351,0.0003356,0.9921,58.86,23.0,0.023711390089169528,0.02404649008916953,10.01395781170288,708.6800912897423,168
E387D,145,7.0,23.0,68.67,0.16489708719298785,0.0004561,0.0004568,0.9921,68.67,23.0,0.024408367994739433,0.024864467994739434,10.354597805602506,732.7869216272542,168
E387D,146,8.0,23.0,78.48,0.18845381393484326,0.0005957,0.0005967,0.9921,78.48,23.0,0.025219507131499678,0.02581520713149968,10.750525093541295,760.8063912352301,168
E387D,147,9.0,23.0,88.29,0.21201054067669867,0.0007538,0.0007553,0.9921,88.29,23.0,0.02612596293622055,0.02687976293622055,11.193850372080789,792.1801801780251,168
E387D,148,10.0,23.0,98.10000000000001,0.2355672674185541,0.0009305,0.0009325,0.9921,98.10000000000001,23.0,0.027109817102086292,0.028040317102086293,11.677153357758934,826.38316070294,168
E387D,149,11.0,23.0,107.91000000000001,0.2591239941604095,0.0011258,0.0011284,0.9921,107.91000000000001,23.0,0.028154077578695088,0.029279877578695088,12.193357854622512,862.9145558655932,168
E387D,150,12.0,23.0,117.72,0.28268072090226487,0.0013397,0.001343,0.9921,117.72,23.0,0.029242678572059075,0.030582378572059074,12.735773398383,901.300886654797,168
E387D,151,13.0,23.0,127.53,0.3062374476441203,0.001572,0.0015763,0.9921,127.53,23.0,0.030360480544604343,0.03193248054460434,13.298011968104841,941.090077742804,168
E387D,152,14.0,23.0,137.34,0.3297941743859757,0.0018229,0.0018283,0.9921,137.34,23.0,0.03149327021517092,0.03331617021517092,13.87423785114062,981.8691402345668,168
