,wing_l,fs_v,Cl,Cd0,Cm,k,Cd,lift,drag,moment,Cd_fus,Cd_ind
0,44.145,7.0,1.1444242450813633,0.04353628874247892,-0.03373905631913043,0.016666977026922564,0.06536514276893368,44.14500000000001,2.521393827452012,-0.33762203537513047,0.004034637792496491,0.021851
1,44.145,7.439024390243903,1.0133306169643301,0.024934086150498646,-0.05501679808349045,0.016666977026922564,0.04204838716178311,44.14500000000001,1.831806934658381,-0.6217689767469017,0.0039871128028581716,0.0171702
2,44.145,7.878048780487805,0.9035367025765304,0.01739209572465126,-0.06372335653718007,0.016666977026922564,0.030998658644495213,44.14500000000002,1.5145325939267353,-0.8076770585867648,0.003943022377081109,0.0136731
3,44.145,8.317073170731707,0.8106662364711934,0.01434464251185535,-0.067185487039408,0.016666977026922564,0.025297842256902597,44.14500000000001,1.3775993080607958,-0.9491137973270585,0.0039019439806573797,0.0110199
4,44.145,8.75609756097561,0.731411772434314,0.013094129032440846,-0.06892421442924145,0.016666977026922564,0.022010348078008966,44.14500000000001,1.3284538922170095,-1.0791822188852223,0.003863526182406589,0.0089786
5,44.145,9.195121951219512,0.6632360787953678,0.012518860665717222,-0.069754344541387,0.016666977026922564,0.019850365457901427,44.14500000000002,1.3212405222747647,-1.2044479078783474,0.003827473793066827,0.007388
6,44.145,9.634146341463415,0.6041665158987779,0.012167952089976303,-0.07031204709120267,0.016666977026922564,0.01825168502568917,44.14500000000001,1.3336069018330685,-1.3327785442341111,0.0037935366584011415,0.0061342
7,44.145,10.073170731707318,0.552650719902836,0.011874759634947121,-0.07088126570861897,0.016666977026922564,0.016965234729536517,44.14500000000002,1.3551602488947498,-1.4688100194015845,0.003761501085397534,0.0051351
8,44.145,10.512195121951219,0.5074535593752555,0.011633354105220681,-0.07134816235568013,0.016666977026922564,0.015925252607859083,44.14500000000002,1.385388403304242,-1.6101687411527144,0.00373118319699787,0.0043313
9,44.145,10.951219512195122,0.46758240605506335,0.011430337257570937,-0.0716735624349786,0.016666977026922564,0.015074293553530578,44.14500000000001,1.4231816259618684,-1.755438956951492,0.0037024237204200485,0.0036788
10,44.145,11.390243902439025,0.432232165047787,0.011213916462341676,-0.0720165540705649,0.016666977026922564,0.014327718520317775,44.14500000000001,1.4633273162572256,-1.9080957186975658,0.003675083855612013,0.0031446
11,44.145,11.829268292682926,0.4007443113746703,0.010987350720012858,-0.07239717454016933,0.016666977026922564,0.01366400061428212,44.14500000000001,1.505192438161732,-2.0688983510371886,0.003649041967592185,0.002704
12,44.145,12.26829268292683,0.37257599786215834,0.010740392626253372,-0.07281905344547825,0.016666977026922564,0.013053983611302243,44.14500000000001,1.5467129118020617,-2.23828332108719,0.003624190914341902,0.0023379
13,44.145,12.707317073170731,0.3472765007611482,0.010486152541703396,-0.07328503952660509,0.016666977026922564,0.01249620610446581,44.14500000000002,1.5884893370918205,-2.416711630058792,0.003600435870074358,0.0020318
14,44.145,13.146341463414634,0.324469076738366,0.01022596888786596,-0.07379225615875844,0.016666977026922564,0.011980671258640906,44.14500000000002,1.6300065880828702,-2.604488104869635,0.0035776925383318187,0.0017742
15,44.145,13.585365853658537,0.3038368556968978,0.009959442426818356,-0.07433992945287991,0.016666977026922564,0.01149808499295781,44.14500000000002,1.6705773262756458,-2.801990083895305,0.0035558856745800593,0.0015562
16,44.145,14.024390243902438,0.28511177510202446,0.009690180121071906,-0.074919603981569,0.016666977026922564,0.011045017421558305,44.14500000000002,1.7101443596996826,-3.00929817312569,0.003534947856551152,0.0013707
17,44.145,14.463414634146343,0.26806582883246305,0.009424705477625538,-0.07553294497650115,0.016666977026922564,0.010622382589686657,44.14500000000001,1.749290767361432,-3.226858068481592,0.003514818454429241,0.0012121
18,44.145,14.902439024390244,0.2525040933756923,0.009158693575849221,-0.07617525704153155,0.016666977026922564,0.010221351983421527,44.14500000000002,1.7869872019729445,-3.454859638541159,0.003495442763392811,0.0010758
19,44.145,15.341463414634147,0.23825913048219682,0.008890288999696747,-0.07684362039985207,0.016666977026922564,0.00983643017234786,44.14500000000001,1.8225081619306205,-3.693543072055192,0.003476771268943115,0.0009581
20,44.145,15.78048780487805,0.22518646432137587,0.008711929089834945,-0.07730588040466806,0.016666977026922564,0.009557093889768397,44.14500000000002,1.8735491541876714,-3.931471673582629,0.0034587590215167463,0.0008562
21,44.145,16.21951219512195,0.21316090370989166,0.008545215088964038,-0.07773739866439118,0.016666977026922564,0.009302522038820456,44.14500000000001,1.9265251190838923,-4.176450643216741,0.0034413651015709644,0.0007674
22,44.145,16.65853658536585,0.2020735336591149,0.008380675429883647,-0.07815811900751143,0.016666977026922564,0.009061249986469955,44.14500000000002,1.9795213821890483,-4.429447568410565,0.003424552159984563,0.0006899
23,44.145,17.097560975609756,0.1918292405654584,0.008215636187090552,-0.0785750454125741,0.016666977026922564,0.008828955233467923,44.14500000000001,2.031776947208654,-4.690884455454006,0.003408286021484826,0.000622
24,44.145,17.53658536585366,0.1823446655417078,0.008048752378040426,-0.07898958754625547,0.016666977026922564,0.008602922314912956,44.14500000000001,2.082737131155428,-4.960913857536625,0.003392535341077273,0.0005622
25,44.145,17.975609756097562,0.17354650328554616,0.007879248455498405,-0.07939991123644718,0.016666977026922564,0.008381230949759929,44.14500000000001,2.1319325556700326,-5.239490432660084,0.0033772713052575617,0.0005095
26,44.145,18.414634146341463,0.16537008138784587,0.007706860340632803,-0.07980631480267301,0.016666977026922564,0.008162656558440312,44.14500000000002,2.1789943546513335,-5.526691453136804,0.003362467371227549,0.0004628
27,44.145,18.853658536585364,0.15775816846229532,0.007532303634323546,-0.08021246281803923,0.016666977026922564,0.007947105353734076,44.14500000000002,2.223814901378239,-5.822840551437775,0.003348099038499124,0.0004213
28,44.145,19.29268292682927,0.15065996992573985,0.007356077218590619,-0.08061740106029633,0.016666977026922564,0.007734391372247168,44.14500000000002,2.26626028995057,-6.127958553918581,0.00333414364820958,0.0003844
29,44.145,19.731707317073173,0.14403027840855087,0.007178123035045681,-0.08102127117823704,0.016666977026922564,0.007523874825023375,44.145,2.306052989833964,-6.442139946048928,0.0033205802062376867,0.0003515
30,44.145,20.170731707317074,0.1378287521703376,0.0069975993186794485,-0.08142296496254796,0.016666977026922564,0.0073142179632674775,44.14500000000001,2.3426617951920474,-6.765376819078998,0.0033073892268354202,0.000322
31,44.145,20.609756097560975,0.13201929994482944,0.006835590390016665,-0.08179618418971897,0.016666977026922564,0.007126080725280603,44.14500000000002,2.3828397344098544,-7.095459428909518,0.0032945525940048168,0.0002956
32,44.145,21.048780487804876,0.12656955464460368,0.006744286320048717,-0.08207811954555451,0.016666977026922564,0.007011288828023023,44.14500000000001,2.4454012355669814,-7.426480557788912,0.003282053438274089,0.0002718
33,44.145,21.48780487804878,0.12145042155314018,0.006661488629579781,-0.08234563789904403,0.016666977026922564,0.0069073299557144046,44.14500000000001,2.510687711047541,-7.764732061326571,0.003269876026879341,0.0002504
34,44.145,21.926829268292686,0.11663568919502305,0.006584290408214094,-0.08259960719943742,0.016666977026922564,0.006811026030218979,44.14500000000002,2.5778794310656576,-8.110197392529582,0.0032580056656514537,0.0002311
35,44.145,22.365853658536587,0.11210169314036314,0.006510722337841391,-0.08284462874477733,0.016666977026922564,0.006720172731489031,44.14500000000001,2.646365250345784,-8.46324837356329,0.0032464286111528722,0.0002136
36,44.145,22.804878048780488,0.10782702467111649,0.006440440894964246,-0.08308072925538462,0.016666977026922564,0.006634222290910095,44.14500000000001,2.716088512369723,-8.82383910968928,0.0032351319918147783,0.0001977
37,44.145,23.24390243902439,0.10379227759591333,0.006373211723044889,-0.08330719863584479,0.016666977026922564,0.006552762347981088,44.14500000000001,2.787025206035317,-9.191838623215677,0.0032241037369983468,0.0001833
38,44.145,23.682926829268293,0.09997982760943447,0.00630679992488385,-0.08352590727215332,0.016666977026922564,0.006473402459381264,44.14500000000001,2.858260095083619,-9.567395350853687,0.0032133325130503073,0.0001702
39,44.145,24.121951219512194,0.09637363950176597,0.006241808274236602,-0.08373889119417058,0.016666977026922564,0.006396609130005188,44.14500000000002,2.9300367974471357,-9.950704930243559,0.0032028076655471697,0.0001582
40,44.145,24.5609756097561,0.09295909827149064,0.006178885936843391,-0.08394520158320341,0.016666977026922564,0.006322911851312773,44.14500000000001,3.002664062650514,-10.34162716259798,0.0031925191670281856,0.0001473
41,44.145,25.0,0.0897228608143789,0.006116665279753794,-0.08414598113729628,0.016666977026922564,0.00625083764075864,44.14500000000001,3.0755063441653863,-10.740269238701824,0.0031824575696072343,0.0001373
